Researchers	NNS	O
from	IN	O
the	DT	O
IBM	NNP	O
X	NNP	O
-	:	O
Force	NNP	O
Incident	NNP	O
Response	NNP	O
and	CC	O
Intelligence	NNP	O
Services	NNP	O
(	(	O
IRIS	NNP	O
)	)	O
team	NN	O
identified	VBD	O
a	DT	O
missing	VBG	O
link	NN	O
in	IN	O
the	DT	O
operations	NNS	O
of	IN	O
a	DT	O
threat	NN	O
actor	NN	O
involved	VBN	O
in	IN	O
recent	JJ	O
Shamoon	NNP	MALWARE
malware	NN	O
attacks	NNS	O
against	IN	O
Gulf	NNP	LOCATION
state	NN	LOCATION
organizations	NNS	O
.	.	O
These	DT	O
attacks	NNS	O
,	,	O
which	WDT	O
occurred	VBD	O
in	IN	O
November	NNP	O
2016	CD	O
and	CC	O
January	NNP	O
2017	CD	O
,	,	O
reportedly	RB	O
affected	VBD	O
thousands	NNS	O
of	IN	O
computers	NNS	O
across	IN	O
multiple	JJ	O
government	NN	INDUSTRY
and	CC	O
civil	JJ	INDUSTRY
organizations	NNS	INDUSTRY
in	IN	O
Saudi	NNP	LOCATION
Arabia	NNP	LOCATION
and	CC	O
elsewhere	RB	O
in	IN	O
Gulf	NNP	LOCATION
states	NNS	LOCATION
.	.	O
Shamoon	NNP	MALWARE
is	VBZ	O
designed	VBN	O
to	TO	O
destroy	VB	EFFECT
computer	NN	EFFECT
hard	JJ	EFFECT
drives	NNS	EFFECT
by	IN	O
wiping	VBG	O
the	DT	O
master	NN	O
boot	NN	O
record	NN	O
(	(	O
MBR	NNP	O
)	)	O
and	CC	O
data	NN	O
irretrievably	RB	O
,	,	O
unlike	IN	O
ransomware	NN	TOOL
,	,	O
which	WDT	O
holds	VBZ	O
the	DT	O
data	NN	O
hostage	NN	O
for	IN	O
a	DT	O
fee	NN	O
.	.	O
Since	IN	O
Shamoon	NNP	MALWARE
incidents	NNS	O
feature	VBP	O
the	DT	O
infiltration	NN	O
and	CC	O
escalation	NN	O
stages	NNS	O
of	IN	O
targeted	JJ	O
attacks	NNS	O
,	,	O
X	NNP	O
-	:	O
Force	NNP	O
IRIS	NNP	O
responders	NNS	O
sought	VBD	O
out	RP	O
the	DT	O
attackers	NNS	O
'	POS	O
entry	NN	O
point	NN	O
.	.	O
