Kaspersky	NNP	O
Lab	NNP	O
has	VBZ	O
always	RB	O
worked	VBN	O
closely	RB	O
with	IN	O
vendors	NNS	O
to	TO	O
protect	VB	O
users	NNS	O
.	.	O
As	RB	O
soon	RB	O
as	IN	O
we	PRP	O
find	VBP	O
new	JJ	O
vulnerabilities	NNS	O
we	PRP	O
immediately	RB	O
inform	VB	O
the	DT	O
vendor	NN	O
in	IN	O
a	DT	O
responsible	JJ	O
manner	NN	O
and	CC	O
provide	VB	O
all	PDT	O
the	DT	O
details	NNS	O
required	VBN	O
for	IN	O
a	DT	O
fix	NN	O
.	.	O
On	IN	O
October	NNP	O
10	CD	O
,	,	O
2017	CD	O
,	,	O
Kaspersky	NNP	O
Lab	NNP	O
's	POS	O
advanced	JJ	O
exploit	JJ	O
prevention	NN	O
systems	NNS	O
identified	VBD	O
a	DT	O
new	JJ	O
Adobe	NNP	APP
Flash	NNP	APP
zero	NNP	O
day	NN	O
exploit	VBD	O
used	VBN	O
in	IN	O
the	DT	O
wild	NN	O
against	IN	O
our	PRP$	O
customers	NNS	O
.	.	O
The	DT	O
exploit	NN	O
was	VBD	O
delivered	VBN	O
through	IN	O
a	DT	O
Microsoft	NNP	APP
Office	NNP	APP
document	NN	O
and	CC	O
the	DT	O
final	JJ	O
payload	NN	O
was	VBD	O
the	DT	O
latest	JJS	O
version	NN	O
of	IN	O
FinSpy	NNP	MALWARE
malware	NN	O
.	.	O
We	PRP	O
have	VBP	O
reported	VBN	O
the	DT	O
bug	NN	O
to	TO	O
Adobe	NNP	O
who	WP	O
assigned	VBD	O
it	PRP	O
CVE-2017	NNP	O
-	:	O
11292	CD	O
and	CC	O
released	VBD	O
a	DT	O
patch	NN	O
earlier	RBR	O
today	NN	O
.	.	O
So	RB	O
far	RB	O
only	RB	O
one	CD	O
attack	NN	O
has	VBZ	O
been	VBN	O
observed	VBN	O
in	IN	O
our	PRP$	O
customer	NN	O
base	NN	O
,	,	O
leading	VBG	O
us	PRP	O
to	TO	O
believe	VB	O
the	DT	O
number	NN	O
of	IN	O
attacks	NNS	O
are	VBP	O
minimal	JJ	O
and	CC	O
highly	RB	O
targeted	VBN	O
.	.	O
Analysis	NN	O
of	IN	O
the	DT	O
payload	NN	O
allowed	VBD	O
us	PRP	O
to	TO	O
confidently	RB	O
link	VB	O
this	DT	O
attack	NN	O
to	TO	O
an	DT	O
actor	NN	O
we	PRP	O
track	VBP	O
as	IN	O
"	JJ	O
BlackOasis	NNP	ACTOR
"	NN	O
.	.	O
We	PRP	O
are	VBP	O
also	RB	O
highly	RB	O
confident	JJ	O
that	IN	O
BlackOasis	NNP	ACTOR
was	VBD	O
also	RB	O
responsible	JJ	O
for	IN	O
another	DT	O
zero	CD	O
day	NN	O
exploit	FW	O
(	(	O
CVE-2017	NNP	O
-	:	O
8759	CD	O
)	)	O
discovered	VBN	O
by	IN	O
FireEye	NNP	O
in	IN	O
September	NNP	O
2017	CD	O
.	.	O
The	DT	O
FinSpy	NNP	MALWARE
payload	NN	O
used	VBN	O
in	IN	O
the	DT	O
current	JJ	O
attacks	NNS	O
(	(	O
CVE-2017	NNP	O
-	:	O
11292	CD	O
)	)	O
shares	NNS	O
the	DT	O
same	JJ	O
command	NN	O
and	CC	O
control	NN	O
(	(	O
C2	NNP	O
)	)	O
server	NN	O
as	IN	O
