This	DT	O
report	NN	O
describes	VBZ	O
Nile	NNP	ACTOR
Phish	NNP	ACTOR
,	,	O
an	DT	O
ongoing	JJ	O
and	CC	O
extensive	JJ	O
phishing	NN	TECHNIQUE
campaign	NN	O
against	IN	O
Egyptian	JJ	LOCATION
civil	JJ	O
society	NN	O
.	.	O
In	IN	O
recent	JJ	O
years	NNS	O
,	,	O
Egypt	NNP	LOCATION
has	VBZ	O
witnessed	VBN	O
what	WP	O
is	VBZ	O
widely	RB	O
described	VBN	O
as	IN	O
an	DT	O
"	NN	O
unprecedented	JJ	O
crackdown	NN	O
,	,	O
"	NN	O
on	IN	O
both	DT	O
civil	JJ	O
society	NN	O
and	CC	O
dissent	NN	O
.	.	O
Amidst	IN	O
this	DT	O
backdrop	NN	O
,	,	O
in	IN	O
late	JJ	O
November	NNP	O
2016	CD	O
Citizen	NNP	O
Lab	NNP	O
began	VBD	O
investigating	VBG	O
phishing	VBG	TECHNIQUE
attempts	NNS	TECHNIQUE
on	IN	O
staff	NN	O
at	IN	O
the	DT	O
Egyptian	JJ	INDUSTRY
Initiative	NNP	INDUSTRY
for	IN	INDUSTRY
Personal	NNP	INDUSTRY
Rights	NNS	INDUSTRY
(	(	O
EIPR	NNP	O
)	)	O
,	,	O
an	DT	O
Egyptian	JJ	LOCATION
organization	NN	O
working	VBG	O
on	IN	O
research	NN	O
,	,	O
advocacy	NN	O
and	CC	O
legal	JJ	O
engagement	NN	O
to	TO	O
support	VB	O
basic	JJ	O
freedoms	NNS	O
and	CC	O
rights	NNS	O
.	.	O
With	IN	O
the	DT	O
collaboration	NN	O
and	CC	O
assistance	NN	O
of	IN	O
EIPR	NNP	O
,	,	O
our	PRP$	O
investigation	NN	O
expanded	VBD	O
to	TO	O
include	VB	O
seven	CD	O
Egyptian	JJ	LOCATION
NGOs	NNP	O
targeted	VBN	O
by	IN	O
Nile	NNP	ACTOR
Phish	NNP	ACTOR
.	.	O
These	DT	O
seven	CD	O
organizations	NNS	O
work	VBP	O
on	IN	O
a	DT	O
variety	NN	O
of	IN	O
human	JJ	O
rights	NNS	O
issues	NNS	O
,	,	O
including	VBG	O
political	JJ	O
freedoms	NNS	O
,	,	O
gender	NN	O
issues	NNS	O
,	,	O
and	CC	O
freedom	NN	O
of	IN	O
speech	NN	O
.	.	O
We	PRP	O
also	RB	O
identified	VBD	O
individual	JJ	O
targets	NNS	O
,	,	O
including	VBG	O
Egyptian	JJ	LOCATION
lawyers	NNS	INDUSTRY
,	,	O
journalists	NNS	INDUSTRY
,	,	O
and	CC	O
independent	JJ	INDUSTRY
activists	NNS	INDUSTRY
.	.	O
In	IN	O
2011	CD	O
,	,	O
the	DT	O
Egyptian	JJ	O
Government	NNP	O
embarked	VBD	O
on	IN	O
a	DT	O
wide	JJ	O
-	:	O
ranging	VBG	O
legal	JJ	O
case	NN	O
charging	VBG	O
that	IN	O
many	JJ	O
civil	JJ	O
society	NN	O
organizations	NNS	O
receive	VBP	O
foreign	JJ	O
funding	NN	O
,	,	O
and	CC	O
may	MD	O
be	VB	O
engaged	VBN	O
in	IN	O
prohibited	JJ	O
or	CC	O
illegal	JJ	O
activities	NNS	O
.	.	O
The	DT	O
case	NN	O
is	VBZ	O
widely	RB	O
viewed	VBN	O
as	IN	O
politically	RB	O
-	:	O
motivated	VBN	O
,	,	O
and	CC	O
an	DT	O
attempt	NN	O
to	TO	O
frustrate	VB	O
and	CC	O
block	VB	O
the	DT	O
ability	NN	O
of	IN	O
Egyptian	NNP	O
civil	JJ	O
society	NN	O
to	TO	O
continue	VB	O
its	PRP$	O
pro	JJ	O
-	:	O
democracy	NN	O
and	CC	O
human	JJ	O
rights	NNS	O
monitoring	NN	O
work	NN	O
.	.	O
In	IN	O
late	JJ	O
2016	CD	O
,	,	O
Citizen	NNP	O
Lab	NNP	O
was	VBD	O
contacted	VBN	O
by	IN	O
the	DT	O
Egyptian	JJ	O
Initiative	NNP	O
for	IN	O
Personal	NNP	O
Rights	NNP	O
(	(	O
EIPR	NNP	O
)	)	O
,	,	O
whose	WP$	O
technical	JJ	O
team	NN	O
had	VBD	O
observed	VBN	O
a	DT	O
growing	VBG	O
number	NN	O
of	IN	O
suspicious	JJ	TECHNIQUE
emails	NNS	TECHNIQUE
sent	VBD	O
to	TO	O
EIPR	NNP	O
accounts	NNS	O
.	.	O
The	DT	O
messages	NNS	O
had	VBD	O
caught	VBN	O
the	DT	O
attention	NN	O
of	IN	O
the	DT	O
technical	JJ	O
team	NN	O
because	IN	O
multiple	JJ	O
messages	NNS	O
arrived	VBN	O
at	IN	O
the	DT	O
same	JJ	O
time	NN	O
,	,	O
concerned	JJ	O
current	JJ	O
events	NNS	O
,	,	O
and	CC	O
seemed	VBD	O
to	TO	O
play	VB	O
on	IN	O
emotional	JJ	O
themes	NNS	O
related	VBN	O
to	TO	O
Case	NNP	O
173	CD	O
.	.	O
EIPR	NNP	O
's	POS	O
team	NN	O
helped	VBD	O
broaden	VB	O
the	DT	O
investigation	NN	O
to	TO	O
a	DT	O
total	NN	O
of	IN	O
seven	CD	O
targeted	JJ	O
Egyptian	JJ	INDUSTRY
NGOs	NNP	INDUSTRY
.	.	O
