Over	IN	O
the	DT	O
past	JJ	O
seven	CD	O
months	NNS	O
,	,	O
Unit	NNP	O
42	CD	O
has	VBZ	O
been	VBN	O
investigating	VBG	O
a	DT	O
series	NN	O
of	IN	O
attacks	NNS	O
we	PRP	O
attribute	VBP	O
to	TO	O
a	DT	O
group	NN	O
we	PRP	O
have	VBP	O
code	VBN	O
named	VBN	O
"	JJ	O
Scarlet	NNP	ACTOR
Mimic	NNP	ACTOR
.	.	O
"	NN	O
The	DT	O
attacks	NNS	O
began	VBD	O
over	IN	O
four	CD	O
years	NNS	O
ago	RB	O
and	CC	O
their	PRP$	O
targeting	NN	O
pattern	NN	O
suggests	VBZ	O
that	IN	O
this	DT	O
adversary	NN	O
's	POS	O
primary	JJ	O
mission	NN	O
is	VBZ	O
to	TO	O
gather	VB	EFFECT
information	NN	EFFECT
about	IN	O
minority	NN	O
rights	NNS	O
activists	NNS	O
.	.	O
We	PRP	O
do	VBP	O
not	RB	O
have	VB	O
evidence	NN	O
directly	RB	O
linking	VBG	O
these	DT	O
attacks	NNS	O
to	TO	O
a	DT	O
government	NN	O
source	NN	O
,	,	O
but	CC	O
the	DT	O
information	NN	O
derived	VBD	O
from	IN	O
these	DT	O
activities	NNS	O
supports	VBP	O
an	DT	O
assessment	NN	O
that	IN	O
a	DT	O
group	NN	O
or	CC	O
groups	NNS	O
with	IN	O
motivations	NNS	O
similar	JJ	O
to	TO	O
the	DT	O
stated	VBN	O
position	NN	O
of	IN	O
the	DT	O
Chinese	JJ	O
government	NN	O
in	IN	O
relation	NN	O
to	TO	O
these	DT	O
targets	NNS	O
is	VBZ	O
involved	VBN	O
.	.	O
Individuals	NNS	O
and	CC	O
groups	NNS	O
of	IN	O
all	DT	O
different	JJ	O
types	NNS	O
may	MD	O
become	VB	O
the	DT	O
target	NN	O
of	IN	O
cyber	JJ	EFFECT
espionage	NN	EFFECT
campaigns	NNS	O
.	.	O
The	DT	O
most	RBS	O
well	RB	O
known	VBN	O
victims	NNS	O
of	IN	O
cyber	NN	EFFECT
espionage	NN	EFFECT
are	VBP	O
typically	RB	O
government	NN	INDUSTRY
organizations	NNS	INDUSTRY
or	CC	O
high	JJ	O
-	:	O
tech	NN	O
companies	NNS	O
,	,	O
but	CC	O
it	PRP	O
's	VBZ	O
important	JJ	O
to	TO	O
recognize	VB	O
that	DT	O
espionage	NN	O
-	:	O
focused	JJ	O
adversaries	NNS	O
are	VBP	O
tasked	VBN	O
to	TO	O
collect	VB	EFFECT
information	NN	EFFECT
from	IN	O
many	JJ	O
sources	NNS	O
.	.	O
The	DT	O
attacks	NNS	O
we	PRP	O
attribute	VBP	O
to	TO	O
Scarlet	NNP	ACTOR
Mimic	NNP	ACTOR
have	VBP	O
primarily	RB	O
targeted	VBN	O
Uyghur	NNP	LOCATION
and	CC	O
Tibetan	NNP	LOCATION
activists	NNS	O
as	RB	O
well	RB	O
as	IN	O
those	DT	O
who	WP	O
are	VBP	O
interested	JJ	O
in	IN	O
their	PRP$	O
causes	NNS	O
.	.	O
Both	DT	O
the	DT	O
Tibetan	NNP	LOCATION
community	NN	O
and	CC	O
the	DT	O
Uyghurs	NNP	O
,	,	O
a	DT	O
Turkic	NNP	LOCATION
Muslim	NNP	O
minority	NN	O
residing	VBG	O
primarily	RB	O
in	IN	O
northwest	JJ	LOCATION
China	NNP	LOCATION
,	,	O
have	VBP	O
been	VBN	O
targets	NNS	O
of	IN	O
multiple	JJ	O
sophisticated	JJ	O
attacks	NNS	O
in	IN	O
the	DT	O
past	JJ	O
decade	NN	O
.	.	O
Both	DT	O
also	RB	O
have	VBP	O
history	NN	O
of	IN	O
strained	JJ	O
relationships	NNS	O
with	IN	O
the	DT	O
government	NN	O
of	IN	O
the	DT	O
People	NNP	O
's	POS	O
Republic	NNP	O
of	IN	O
China	NNP	O
(	(	O
PRC	NNP	LOCATION
)	)	O
,	,	O
though	IN	O
we	PRP	O
do	VBP	O
not	RB	O
have	VB	O
evidence	NN	O
that	IN	O
links	VBZ	O
Scarlet	NNP	ACTOR
Mimic	NNP	ACTOR
attacks	NNS	O
to	TO	O
the	DT	O
