Polish	JJ	LOCATION
banks	NNS	INDUSTRY
are	VBP	O
frantically	RB	O
scanning	VBG	O
their	PRP$	O
workstations	NNS	O
and	CC	O
servers	NNS	O
while	IN	O
checking	VBG	O
logs	NNS	O
in	IN	O
the	DT	O
search	NN	O
of	IN	O
signs	NNS	O
of	IN	O
infection	NN	O
after	IN	O
some	DT	O
of	IN	O
them	PRP	O
noticed	VBD	O
unusual	JJ	O
network	NN	O
activity	NN	O
and	CC	O
unauthorised	JJ	O
files	NNS	O
on	IN	O
key	JJ	O
machines	NNS	O
within	IN	O
their	PRP$	O
networks	NNS	O
.	.	O
This	DT	O
is	VBZ	O
-	:	O
by	IN	O
far	RB	O
-	:	O
the	DT	O
most	RBS	O
serious	JJ	O
information	NN	O
security	NN	O
incident	NN	O
we	PRP	O
have	VBP	O
seen	VBN	O
in	IN	O
Poland	NNP	LOCATION
.	.	O
It	PRP	O
has	VBZ	O
been	VBN	O
a	DT	O
busy	JJ	O
week	NN	O
in	IN	O
SOCs	NNP	O
all	DT	O
over	IN	O
Polish	JJ	LOCATION
financial	JJ	INDUSTRY
sector	NN	INDUSTRY
.	.	O
At	IN	O
least	JJS	O
a	DT	O
few	JJ	O
of	IN	O
Polish	JJ	LOCATION
20-something	JJ	O
commercial	JJ	O
banks	NNS	INDUSTRY
have	VBP	O
already	RB	O
confirmed	VBN	O
being	VBG	O
victims	NNS	O
of	IN	O
a	DT	O
malware	JJ	O
infection	NN	O
while	IN	O
others	NNS	O
keep	VBP	O
looking	VBG	O
.	.	O
Network	NN	O
traffic	NN	O
to	TO	O
exotic	JJ	O
locations	NNS	O
and	CC	O
encrypted	VBD	O
executables	NNS	O
nobody	NN	O
recognised	VBD	O
on	IN	O
some	DT	O
servers	NNS	O
were	VBD	O
the	DT	O
first	JJ	O
signs	NNS	O
of	IN	O
trouble	NN	O
.	.	O
A	DT	O
little	RB	O
more	JJR	O
than	IN	O
a	DT	O
week	NN	O
ago	IN	O
one	CD	O
of	IN	O
the	DT	O
banks	NNS	INDUSTRY
detected	VBD	O
strange	JJ	O
malware	NN	O
present	NN	O
in	IN	O
a	DT	O
few	JJ	O
workstations	NNS	O
.	.	O
Having	VBG	O
established	VBN	O
basic	JJ	O
indicators	NNS	O
of	IN	O
compromise	NN	O
managed	VBN	O
to	TO	O
share	NN	O
that	IN	O
information	NN	O
with	IN	O
other	JJ	O
banks	NNS	INDUSTRY
,	,	O
who	WP	O
started	VBD	O
asking	VBG	O
their	PRP$	O
SIEMs	NNP	O
for	IN	O
information	NN	O
.	.	O
In	IN	O
some	DT	O
cases	NNS	O
the	DT	O
results	NNS	O
