The	DT	O
U.S.	NNP	LOCATION
Government	NNP	O
confirms	VBZ	O
that	IN	O
two	CD	O
different	JJ	O
RIS	NNP	O
actors	NNS	O
participated	VBD	O
in	IN	O
the	DT	O
intrusion	NN	O
into	IN	O
a	DT	O
U.S.	NNP	LOCATION
political	JJ	INDUSTRY
party	NN	INDUSTRY
.	.	O
The	DT	O
first	JJ	O
actor	NN	O
group	NN	O
,	,	O
known	VBN	O
as	IN	O
Advanced	NNP	O
Persistent	NNP	O
Threat	NNP	O
(	(	O
APT	NNP	O
)	)	O
29	CD	O
,	,	O
entered	VBD	O
into	IN	O
the	DT	O
party	NN	O
's	POS	O
systems	NNS	O
in	IN	O
summer	NN	O
2015	CD	O
,	,	O
while	IN	O
the	DT	O
second	JJ	O
,	,	O
known	VBN	O
as	IN	O
APT28	NNP	ACTOR
,	,	O
entered	VBD	O
in	IN	O
spring	NN	O
2016	CD	O
.	.	O
Both	DT	O
groups	NNS	O
have	VBP	O
historically	RB	O
targeted	VBN	O
government	NN	INDUSTRY
organizations	NNS	INDUSTRY
,	,	O
think	VBP	INDUSTRY
tanks	NNS	INDUSTRY
,	,	O
universities	NNS	INDUSTRY
,	,	O
and	CC	O
corporations	NNS	INDUSTRY
around	IN	O
the	DT	O
world	NN	O
.	.	O
APT29	NNP	ACTOR
has	VBZ	O
been	VBN	O
observed	VBN	O
crafting	VBG	O
targeted	JJ	O
spearphishing	VBG	TECHNIQUE
campaigns	NNS	O
leveraging	VBG	O
web	JJ	O
links	NNS	O
to	TO	O
a	DT	O
malicious	JJ	TOOL
dropper	NN	TOOL
;	:	O
once	RB	O
executed	VBN	O
,	,	O
the	DT	O
code	NN	O
delivers	NNS	O
Remote	NNP	TOOL
Access	NNP	TOOL
Tools	NNP	TOOL
(	(	O
RATs	NNP	TOOL
)	)	O
and	CC	O
evades	VBZ	TECHNIQUE
detection	NN	TECHNIQUE
using	VBG	O
a	DT	O
range	NN	O
of	IN	O
techniques	NNS	O
.	.	O
APT28	NNP	ACTOR
is	VBZ	O
known	VBN	O
for	IN	O
leveraging	VBG	O
domains	NNS	O
that	WDT	O
closely	RB	O
mimic	VBP	O
those	DT	O
of	IN	O
targeted	JJ	O
organizations	NNS	O
and	CC	O
tricking	VBG	O
potential	JJ	O
victims	NNS	O
into	IN	O
entering	VBG	O
legitimate	JJ	O
credentials	NNS	O
.	.	O
APT28	NNP	ACTOR
actors	NNS	O
relied	VBD	O
heavily	RB	O
on	IN	O
shortened	JJ	O
URLs	NNP	O
in	IN	O
their	PRP$	O
spearphishing	NN	TECHNIQUE
email	NN	TECHNIQUE
campaigns	NNS	O
.	.	O
Once	RB	O
APT28	NNP	ACTOR
and	CC	O
APT29	NNP	ACTOR
have	VBP	O
access	NN	O
to	TO	O
victims	NNS	O
,	,	O
both	DT	O
groups	NNS	O
exfiltrate	VBP	EFFECT
and	CC	EFFECT
analyze	VBP	EFFECT
information	NN	EFFECT
to	TO	O
gain	VB	O
intelligence	NN	O
value	NN	O
.	.	O
These	DT	O
groups	NNS	O
