Mandiant	NNP	O
continues	VBZ	O
to	TO	O
track	VB	O
dozens	NNS	O
of	IN	O
APT	NNP	O
groups	NNS	O
around	IN	O
the	DT	O
world	NN	O
;	:	O
however	RB	O
,	,	O
this	DT	O
report	NN	O
is	VBZ	O
focused	VBN	O
on	IN	O
the	DT	O
most	RBS	O
prolific	JJ	O
of	IN	O
these	DT	O
groups	NNS	O
.	.	O
We	PRP	O
refer	VBP	O
to	TO	O
this	DT	O
group	NN	O
as	IN	O
"	NNP	O
APT1	NNP	ACTOR
"	NNP	O
and	CC	O
it	PRP	O
is	VBZ	O
one	CD	O
of	IN	O
more	JJR	O
than	IN	O
20	CD	O
APT	JJ	O
groups	NNS	O
with	IN	O
origins	NNS	O
in	IN	O
China	NNP	O
.	.	O
APT1	NNP	ACTOR
is	VBZ	O
a	DT	O
single	JJ	O
organization	NN	O
of	IN	O
operators	NNS	O
that	WDT	O
has	VBZ	O
conducted	VBN	O
a	DT	O
cyber	JJ	EFFECT
espionage	NN	EFFECT
campaign	NN	O
against	IN	O
a	DT	O
broad	JJ	O
range	NN	O
of	IN	O
victims	NNS	O
since	IN	O
at	IN	O
least	JJS	O
2006	CD	O
.	.	O
From	IN	O
our	PRP$	O
observations	NNS	O
,	,	O
it	PRP	O
is	VBZ	O
one	CD	O
of	IN	O
the	DT	O
most	RBS	O
prolific	JJ	O
cyber	NN	EFFECT
espionage	NN	EFFECT
groups	NNS	O
in	IN	O
terms	NNS	O
of	IN	O
the	DT	O
sheer	NN	O
quantity	NN	O
of	IN	O
information	NN	EFFECT
stolen	VBN	EFFECT
.	.	O
The	DT	O
scale	NN	O
and	CC	O
impact	NN	O
of	IN	O
APT1	NNP	ACTOR
's	POS	O
operations	NNS	O
compelled	VBD	O
us	PRP	O
to	TO	O
write	VB	O
this	DT	O
report	NN	O
.	.	O
Our	PRP$	O
analysis	NN	O
has	VBZ	O
led	VBN	O
us	PRP	O
to	TO	O
conclude	VB	O
that	DT	O
APT1	NNP	ACTOR
is	VBZ	O
likely	JJ	O
government	NN	O
-	:	O
sponsored	VBD	O
and	CC	O
one	CD	O
of	IN	O
the	DT	O
most	RBS	O
persistent	JJ	O
of	IN	O
China	NNP	O
's	POS	O
cyber	NN	O
threat	NN	O
actors	NNS	O
.	.	O
We	PRP	O
believe	VBP	O
that	IN	O
APT1	NNP	ACTOR
is	VBZ	O
able	JJ	O
to	TO	O
wage	NN	O
such	PDT	O
a	DT	O
long	JJ	O
-	:	O
running	NN	O
and	CC	O
extensive	JJ	O
cyber	NN	EFFECT
espionage	NN	EFFECT
campaign	NN	O
in	IN	O
large	JJ	O
part	NN	O
because	IN	O
it	PRP	O
receives	VBZ	O
direct	JJ	O
government	NN	O
support	NN	O
.	.	O
In	IN	O
seeking	VBG	O
to	TO	O
identify	VB	O
the	DT	O
organization	NN	O
behind	IN	O
this	DT	O
activity	NN	O
,	,	O
our	PRP$	O
research	NN	O
found	VBD	O
