RSA	NNP	O
Research	NNP	O
investigated	VBD	O
the	DT	O
source	NN	O
of	IN	O
suspicious	JJ	O
,	,	O
observed	JJ	O
beaconing	VBG	TECHNIQUE
thought	NN	O
to	TO	O
be	VB	O
associated	VBN	O
with	IN	O
targeted	JJ	O
malware	NN	O
.	.	O
In	IN	O
the	DT	O
course	NN	O
of	IN	O
this	DT	O
tactical	JJ	O
hunt	NN	O
for	IN	O
unidentified	JJ	O
code	NN	O
,	,	O
RSA	NNP	O
discovered	VBD	O
a	DT	O
sophisticated	JJ	O
attack	NN	O
on	IN	O
a	DT	O
software	NN	O
supply	NN	O
-	:	O
chain	NN	O
involving	VBG	O
a	DT	O
Trojan	NNP	TOOL
inserted	VBN	O
in	IN	O
otherwise	RB	O
legitimate	JJ	O
software	NN	O
;	:	O
software	NN	O
that	WDT	O
is	VBZ	O
typically	RB	O
used	VBN	O
by	IN	O
enterprise	NN	O
system	NN	O
administrators	NNS	O
.	.	O
We	PRP	O
are	VBP	O
sharing	VBG	O
details	NNS	O
of	IN	O
this	DT	O
attack	NN	O
investigation	NN	O
,	,	O
along	IN	O
with	IN	O
mitigation	NN	O
and	CC	O
detection	NN	O
strategies	NNS	O
,	,	O
to	TO	O
promote	VB	O
awareness	NN	O
and	CC	O
preparation	NN	O
for	IN	O
future	JJ	O
or	CC	O
ongoing	JJ	O
software	NN	O
supply	NN	O
-	:	O
chain	NN	O
attacks	NNS	O
.	.	O
In	IN	O
this	DT	O
Kingslayer	NNP	ACTOR
post	NN	O
-	:	O
mortem	NN	O
report	NN	O
,	,	O
RSA	NNP	O
Research	NNP	O
describes	VBZ	O
a	DT	O
sophisticated	JJ	O
software	NN	O
application	NN	O
supply	NN	O
chain	NN	O
attack	NN	O
that	WDT	O
may	MD	O
have	VB	O
otherwise	RB	O
gone	VBN	O
unnoticed	JJ	O
by	IN	O
its	PRP$	O
targets	NNS	O
.	.	O
This	DT	O
attack	NN	O
is	VBZ	O
different	JJ	O
in	IN	O
that	DT	O
it	PRP	O
appears	VBZ	O
to	TO	O
have	VB	O
specifically	RB	O
targeted	VBN	O
Windows	NNP	O
operating	VBG	O
system	NN	O
administrators	NNS	O
of	IN	O
large	JJ	O
and	CC	O
,	,	O
perhaps	RB	O
,	,	O
sensitive	JJ	O
organizations	NNS	O
.	.	O
These	DT	O
organizations	NNS	O
appeared	VBD	O
on	IN	O
a	DT	O
list	NN	O
of	IN	O
customers	NNS	O
still	RB	O
displayed	VBN	O
on	IN	O
the	DT	O
formerly	RB	O
subverted	VBN	O
software	NN	O
vendor	NN	O
's	POS	O
web	JJ	O
site	NN	O
.	.	O
Early	RB	O
in	IN	O
our	PRP$	O
investigation	NN	O
of	IN	O
,	,	O
and	CC	O
takedown	JJ	O
operation	NN	O
against	IN	O
,	,	O
a	DT	O
broad	JJ	O
exploitation	NN	O
campaign	NN	O
we	PRP	O
call	VBP	O
Schoolbell	NNP	ACTOR
,	,	O
RSA	NNP	O
Research	NNP	O
observed	VBD	O
unidentified	JJ	O
beaconing	NN	TECHNIQUE
to	TO	O
the	DT	O
URL	NNP	O
www.oraclesoft[.]net	NN	O
.	.	O
We	PRP	O
did	VBD	O
not	RB	O
know	VB	O
what	WP	O
was	VBD	O
causing	VBG	O
the	DT	O
beaconing	NN	TECHNIQUE
,	,	O
but	CC	O
we	PRP	O
suspected	VBD	O
it	PRP	O
was	VBD	O
malware	NN	O
.	.	O
This	DT	O
URL	NNP	O
resolved	VBD	O
to	TO	O
an	DT	O
IP	NNP	O
address	NN	O
that	IN	O
,	,	O
at	IN	O
the	DT	O
time	NN	O
,	,	O
also	RB	O
resolved	VBD	O
to	TO	O
another	DT	O
known	VBN	O
malicious	JJ	O
domain	NN	O
.	.	O
This	DT	O
additional	JJ	O
,	,	O
malicious	JJ	O
domain	NN	O
,	,	O
google	SYM	O
-	:	O
dash[.]com	NN	O
,	,	O
was	VBD	O
used	VBN	O
for	IN	O
command	NN	TECHNIQUE
and	CC	TECHNIQUE
control	NN	TECHNIQUE
(	(	O
C2	NNP	TECHNIQUE
)	)	O
by	IN	O
a	DT	O
variant	NN	O
of	IN	O
PGV_PVID	NNP	MALWARE
malware	NN	O
that	WDT	O
had	VBD	O
no	DT	O
antivirus	NN	O
(	(	O
AV	NNP	O
)	)	O
coverage	NN	O
at	IN	O
the	DT	O
time	NN	O
it	PRP	O
was	VBD	O
submitted	VBN	O
to	TO	O
VirusTotal	NNP	O
in	IN	O
April	NNP	O
2016	CD	O
.	.	O
Complicating	VBG	O
our	PRP$	O
initial	JJ	O
attempt	NN	O
at	IN	O
dynamic	JJ	O
analysis	NN	O
of	IN	O
the	DT	O
suspected	JJ	O
backdoor	NN	TOOL
in	IN	O
the	DT	O
RSA	NNP	O
Research	NNP	O
lab	NN	O
was	VBD	O
the	DT	O
employment	NN	O
of	IN	O
an	DT	O
unusual	JJ	O
diurnal	JJ	TECHNIQUE
beacon	NN	TECHNIQUE
sleep	NN	TECHNIQUE
algorithm	NN	TECHNIQUE
.	.	O
The	DT	O
backdoor	NN	TOOL
was	VBD	O
configured	VBN	O
to	TO	O
only	RB	O
beacon	VB	O
to	TO	O
www.oraclesoft[.]net	VB	O
between	IN	O
the	DT	O
hours	NNS	O
of	IN	O
1500	CD	O
to	TO	O
0000	CD	O
(	(	O
3	CD	O
pm	NN	O
to	TO	O
midnight	NN	O
)	)	O
UTC	NNP	O
;	:	O
a	DT	O
daily	JJ	O
window	NN	O
of	IN	O
9	CD	O
hours	NNS	O
.	.	O
It	PRP	O
was	VBD	O
also	RB	O
configured	VBN	O
to	TO	O
only	RB	O
beacon	VB	O
four	CD	O
days	NNS	O
a	DT	O
week	NN	O
;	:	O
on	IN	O
Saturday	NNP	O
,	,	O
Tuesday	NNP	O
,	,	O
Thursday	NNP	O
and	CC	O
Friday	NNP	O
.	.	O
