Mandiant	NNP	O
recently	RB	O
responded	VBD	O
to	TO	O
an	DT	O
incident	NN	O
at	IN	O
a	DT	O
critical	JJ	INDUSTRY
infrastructure	NN	INDUSTRY
organization	NN	INDUSTRY
where	WRB	O
an	DT	O
attacker	NN	O
deployed	VBD	O
malware	NN	O
designed	VBN	O
to	TO	O
manipulate	VB	EFFECT
industrial	JJ	EFFECT
safety	NN	EFFECT
systems	NNS	EFFECT
.	.	O
The	DT	O
targeted	JJ	O
systems	NNS	O
provided	VBD	O
emergency	NN	O
shutdown	JJ	O
capability	NN	O
for	IN	O
industrial	JJ	O
processes	NNS	O
.	.	O
We	PRP	O
assess	VBP	O
with	IN	O
moderate	JJ	O
confidence	NN	O
that	IN	O
the	DT	O
attacker	NN	O
was	VBD	O
developing	VBG	O
the	DT	O
capability	NN	O
to	TO	O
cause	VB	O
physical	JJ	EFFECT
damage	NN	EFFECT
and	CC	O
inadvertently	RB	O
shutdown	JJ	EFFECT
operations	NNS	EFFECT
.	.	O
This	DT	O
malware	NN	O
,	,	O
which	WDT	O
we	PRP	O
call	VBP	O
TRITON	NNP	MALWARE
,	,	O
is	VBZ	O
an	DT	O
attack	NN	O
framework	NN	O
built	VBN	O
to	TO	O
interact	VB	O
with	IN	O
Triconex	NNP	APP
Safety	NNP	APP
Instrumented	NNP	APP
System	NNP	APP
(	(	O
SIS	NNP	O
)	)	O
controllers	NNS	O
.	.	O
We	PRP	O
have	VBP	O
not	RB	O
attributed	VBN	O
the	DT	O
incident	NN	O
to	TO	O
a	DT	O
threat	NN	O
actor	NN	O
,	,	O
though	IN	O
we	PRP	O
believe	VBP	O
the	DT	O
activity	NN	O
is	VBZ	O
consistent	JJ	O
with	IN	O
a	DT	O
nation	NN	O
state	NN	O
preparing	NN	O
for	IN	O
an	DT	O
attack	NN	O
.	.	O
TRITON	NNP	MALWARE
is	VBZ	O
one	CD	O
of	IN	O
a	DT	O
limited	JJ	O
number	NN	O
of	IN	O
publicly	RB	O
identified	VBN	O
malicious	JJ	O
software	NN	O
families	NNS	O
targeted	VBN	O
at	IN	O
industrial	JJ	INDUSTRY
control	NN	INDUSTRY
systems	NNS	INDUSTRY
(	(	O
ICS	NNP	O
)	)	O
.	.	O
It	PRP	O
follows	VBZ	O
Stuxnet	NNP	MALWARE
which	WDT	O
was	VBD	O
used	VBN	O
against	IN	O
Iran	NNP	LOCATION
in	IN	O
2010	CD	O
and	CC	O
Industroyer	NNP	MALWARE
which	WDT	O
we	PRP	O
believe	VBP	O
was	VBD	O
deployed	VBN	O
by	IN	O
Sandworm	NNP	ACTOR
Team	NNP	ACTOR
against	IN	O
Ukraine	NNP	LOCATION
in	IN	O
2016	CD	O
.	.	O
TRITON	NNP	MALWARE
is	VBZ	O
consistent	JJ	O
with	IN	O
these	DT	O
attacks	NNS	O
,	,	O
in	IN	O
that	DT	O
it	PRP	O
could	MD	O
prevent	VB	O
safety	NN	O
mechanisms	NNS	O
from	IN	O
executing	VBG	O
their	PRP$	O
intended	VBN	O
function	NN	O
,	,	O
resulting	VBG	O
in	IN	O
a	DT	O
physical	JJ	O
consequence	NN	O
.	.	O
The	DT	O
attacker	NN	O
gained	VBD	O
remote	JJ	TECHNIQUE
access	NN	TECHNIQUE
to	TO	O
an	DT	O
SIS	NNP	O
engineering	NN	O
workstation	NN	O
and	CC	O
deployed	VBD	O
the	DT	O
TRITON	NNP	MALWARE
attack	NN	O
framework	NN	O
to	TO	O
reprogram	VB	O
the	DT	O
SIS	NNP	O
controllers	NNS	O
.	.	O
During	IN	O
the	DT	O
incident	NN	O
,	,	O
some	DT	O
SIS	NNP	O
controllers	NNS	O
entered	VBD	O
a	DT	O
failed	JJ	O
safe	JJ	O
state	NN	O
,	,	O
which	WDT	O
automatically	RB	O
shutdown	VBP	O
the	DT	O
industrial	JJ	O
process	NN	O
and	CC	O
prompted	VBD	O
the	DT	O
asset	NN	O
owner	NN	O
to	TO	O
initiate	VB	O
an	DT	O
investigation	NN	O
.	.	O
The	DT	O
investigation	NN	O
found	VBD	O
that	IN	O
the	DT	O
SIS	NNP	O
controllers	NNS	O
initiated	VBD	O
a	DT	O
safe	JJ	O
shutdown	NN	O
when	WRB	O
application	NN	O
code	NN	O
between	IN	O
redundant	JJ	O
processing	VBG	O
units	NNS	O
failed	VBD	O
a	DT	O
validation	NN	O
check	NN	O
--	:	O
resulting	VBG	O
in	IN	O
an	DT	O
MP	NNP	O
diagnostic	JJ	O
failure	NN	O
message	NN	O
.	.	O
We	PRP	O
assess	VBP	O
with	IN	O
moderate	JJ	O
confidence	NN	O
that	IN	O
the	DT	O
attacker	NN	O
inadvertently	RB	O
shutdown	VBN	EFFECT
operations	NNS	EFFECT
while	IN	O
developing	VBG	O
the	DT	O
ability	NN	O
to	TO	O
cause	VB	O
physical	JJ	EFFECT
damage	NN	EFFECT
for	IN	O
the	DT	O
following	JJ	O
reasons	NNS	O
:	:	O
Modifying	VBG	O
the	DT	O
SIS	NNP	O
could	MD	O
prevent	VB	O
it	PRP	O
from	IN	O
functioning	VBG	O
correctly	RB	O
,	,	O
increasing	VBG	O
the	DT	O
likelihood	NN	O
of	IN	O
a	DT	O
failure	NN	O
that	WDT	O
would	MD	O
result	VB	O
in	IN	O
physical	JJ	O
consequences	NNS	O
.	.	O
TRITON	NNP	MALWARE
was	VBD	O
used	VBN	O
to	TO	O
modify	VB	TECHNIQUE
application	NN	TECHNIQUE
memory	NN	TECHNIQUE
on	IN	O
SIS	NNP	O
controllers	NNS	O
in	IN	O
the	DT	O
environment	NN	O
,	,	O
which	WDT	O
could	MD	O
have	VB	O
led	VBN	O
to	TO	O
a	DT	O
failed	JJ	O
validation	NN	O
check	NN	O
.	.	O
The	DT	O
failure	NN	O
occurred	VBD	O
during	IN	O
the	DT	O
time	NN	O
period	NN	O
when	WRB	O
TRITON	NNP	MALWARE
was	VBD	O
used	VBN	O
.	.	O
It	PRP	O
is	VBZ	O
not	RB	O
likely	JJ	O
that	IN	O
existing	VBG	O
or	CC	O
external	JJ	O
conditions	NNS	O
,	,	O
in	IN	O
isolation	NN	O
,	,	O
caused	VBD	O
a	DT	O
fault	NN	O
during	IN	O
the	DT	O
time	NN	O
of	IN	O
the	DT	O
incident	NN	O
.	.	O
Attribution	NNP	O
FireEye	NNP	O
has	VBZ	O
not	RB	O
connected	VBN	O
this	DT	O
activity	NN	O
to	TO	O
any	DT	O
actor	NN	O
we	PRP	O
currently	RB	O
track	VBP	O
;	:	O
however	RB	O
,	,	O
we	PRP	O
assess	VBP	O
with	IN	O
moderate	JJ	O
confidence	NN	O
that	IN	O
the	DT	O
actor	NN	O
is	VBZ	O
sponsored	VBN	O
by	IN	O
a	DT	O
nation	NN	O
state	NN	O
.	.	O
The	DT	O
targeting	NN	O
of	IN	O
critical	JJ	INDUSTRY
infrastructure	NN	INDUSTRY
as	RB	O
well	RB	O
as	IN	O
the	DT	O
attacker	NN	O
's	POS	O
persistence	NN	O
,	,	O
lack	NN	O
of	IN	O
any	DT	O
clear	JJ	O
monetary	JJ	O
goal	NN	O
and	CC	O
the	DT	O
technical	JJ	O
resources	NNS	O
necessary	JJ	O
to	TO	O
create	VB	O
the	DT	O
attack	NN	O
framework	NN	O
suggest	VBP	O
a	DT	O
well	RB	O
-	:	O
resourced	VBN	O
nation	NN	O
state	NN	O
actor	NN	O
.	.	O
Specifically	RB	O
,	,	O
the	DT	O
following	JJ	O
facts	NNS	O
support	VBP	O
this	DT	O
assessment	NN	O
:	:	O
The	DT	O
attacker	NN	O
targeted	VBD	O
the	DT	O
SIS	NNP	O
suggesting	VBG	O
an	DT	O
interest	NN	O
in	IN	O
causing	VBG	O
a	DT	O
high	JJ	O
-	:	O
impact	NN	O
attack	NN	O
with	IN	O
physical	JJ	O
consequences	NNS	O
.	.	O
This	DT	O
is	VBZ	O
an	DT	O
attack	NN	O
objective	NN	O
not	RB	O
typically	RB	O
seen	VBN	O
from	IN	O
cyber	SYM	O
-	:	O
crime	NN	O
groups	NNS	O
.	.	O
The	DT	O
attacker	NN	O
deployed	VBD	O
TRITON	NNP	MALWARE
shortly	RB	O
after	IN	O
gaining	VBG	O
access	NN	O
to	TO	O
the	DT	O
SIS	NNP	O
system	NN	O
,	,	O
indicating	VBG	O
that	IN	O
they	PRP	O
had	VBD	O
pre	VBN	O
-	:	O
built	VBN	O
and	CC	O
tested	VBN	O
the	DT	O
tool	NN	O
which	WDT	O
would	MD	O
require	VB	O
access	NN	O
to	TO	O
hardware	VB	O
and	CC	O
software	NN	O
that	WDT	O
is	VBZ	O
not	RB	O
widely	RB	O
available	JJ	O
.	.	O
TRITON	NNP	MALWARE
is	VBZ	O
also	RB	O
designed	VBN	O
to	TO	O
communicate	VB	O
using	VBG	O
the	DT	O
proprietary	JJ	O
TriStation	NNP	O
protocol	NN	O
which	WDT	O
is	VBZ	O
not	RB	O
publicly	RB	O
documented	VBN	O
suggesting	VBG	O
the	DT	O
adversary	NN	O
independently	RB	O
reverse	VBZ	O
engineered	VBN	O
this	DT	O
protocol	NN	O
.	.	O
The	DT	O
targeting	NN	O
of	IN	O
critical	JJ	INDUSTRY
infrastructure	NN	INDUSTRY
to	TO	O
disrupt	VB	O
,	,	O
degrade	VB	O
,	,	O
or	CC	O
destroy	JJ	O
systems	NNS	O
is	VBZ	O
consistent	JJ	O
with	IN	O
numerous	JJ	O
attack	NN	O
and	CC	O
reconnaissance	NN	O
activities	NNS	O
carried	VBD	O
out	RP	O
globally	RB	O
by	IN	O
Russian	NNP	O
,	,	O
Iranian	NNP	O
,	,	O
North	JJ	O
Korean	JJ	O
,	,	O
U.S.	NNP	O
,	,	O
and	CC	O
Israeli	NNP	O
nation	NN	O
state	NN	O
actors	NNS	O
.	.	O
Intrusions	NNS	O
of	IN	O
this	DT	O
nature	NN	O
do	VBP	O
not	RB	O
necessarily	RB	O
indicate	VB	O
an	DT	O
immediate	JJ	O
intent	NN	O
to	TO	O
disrupt	VB	O
targeted	JJ	O
systems	NNS	O
,	,	O
and	CC	O
may	MD	O
be	VB	O
preparation	NN	O
for	IN	O
a	DT	O
contingency	NN	O
.	.	O
We	PRP	O
assess	VBP	O
with	IN	O
moderate	JJ	O
confidence	NN	O
that	IN	O
the	DT	O
attacker	NN	O
's	POS	O
long	JJ	O
-	:	O
term	NN	O
objective	NN	O
was	VBD	O
to	TO	O
develop	VB	O
the	DT	O
capability	NN	O
to	TO	O
cause	VB	O
a	DT	O
physical	JJ	O
consequence	NN	O
.	.	O
