Over	IN	O
the	DT	O
past	JJ	O
year	NN	O
,	,	O
the	DT	O
Secret	NNP	O
Service	NNP	O
has	VBZ	O
responded	VBN	O
to	TO	O
network	NN	TECHNIQUE
intrusions	NNS	TECHNIQUE
at	IN	O
numerous	JJ	O
businesses	NNS	O
throughout	IN	O
the	DT	O
United	NNP	LOCATION
States	NNPS	LOCATION
that	WDT	O
have	VBP	O
been	VBN	O
impacted	VBN	O
by	IN	O
the	DT	O
"	NNP	O
Backoff	NNP	O
"	NNP	O
malware	NN	O
0	0	O
Seven	NNP	O
PoS	NNP	O
system	NN	O
providers	NNS	O
/	VBP	O
vendors	NNS	O
have	VBP	O
confirmed	VBN	O
that	IN	O
they	PRP	O
have	VBP	O
had	VBN	O
multiple	JJ	O
clients	NNS	O
affected	VBD	O
0	0	O
Reporting	VBG	O
continues	VBZ	O
on	IN	O
additional	JJ	O
compromised	JJ	O
locations	NNS	O
,	,	O
involving	VBG	O
private	JJ	O
sector	NN	O
entities	NNS	O
of	IN	O
all	DT	O
sizes	NNS	O
,	,	O
and	CC	O
the	DT	O
Secret	NNP	O
Service	NNP	O
currently	RB	O
estimates	VBZ	O
that	IN	O
over	IN	O
1000	CD	O
U.S.	NNP	LOCATION
businesses	NNS	O
are	VBP	O
affected	VBN	O
0	0	O
Recent	JJ	O
investigations	NNS	O
revealed	VBD	O
that	IN	O
malicious	JJ	O
actors	NNS	O
are	VBP	O
using	VBG	O
publicly	RB	O
available	JJ	O
tools	NNS	O
to	TO	O
locate	VB	O
businesses	NNS	O
that	WDT	O
use	VBP	O
remote	JJ	APP
desktop	NN	APP
applications	NNS	APP
0	0	O
Remote	NNP	O
desktop	JJ	O
solutions	NNS	O
like	IN	O
Microsoft	NNP	O
's	POS	O
Remote	NNP	O
Desktop	NNP	O
[	NNP	O
1	CD	O
]	NNP	O
,	,	O
Apple	NNP	APP
Remote	NNP	APP
Desktop	NNP	APP
[	NNP	O
2	CD	O
]	NNP	O
,	,	O
Chrome	NNP	APP
Remote	NNP	APP
Desktop	NNP	APP
[	NNP	O
3	CD	O
]	NN	O
,	,	O
Splashtop	NNP	APP
2	CD	APP
[	VBD	O
4	CD	O
]	NN	O
,	,	O
and	CC	O
LogMeIn	NNP	APP
[	VBD	O
5	CD	O
]	NN	O
offer	VBP	O
the	DT	O
convenience	NN	O
and	CC	O
efficiency	NN	O
of	IN	O
connecting	VBG	O
to	TO	O
a	DT	O
computer	NN	O
from	IN	O
a	DT	O
remote	JJ	O
location	NN	O
0	0	O
Once	RB	O
these	DT	O
applications	NNS	O
are	VBP	O
located	VBN	O
,	,	O
the	DT	O
suspects	NNS	O
attempted	VBN	O
to	TO	O
brute	VB	TECHNIQUE
force	NN	TECHNIQUE
the	DT	O
login	JJ	O
feature	NN	O
of	IN	O
the	DT	O
remote	JJ	APP
desktop	NN	APP
solution	NN	APP
0	0	O
After	IN	O
gaining	VBG	O
access	NN	O
to	TO	O
what	WP	O
was	VBD	O
often	RB	O
administrator	JJ	O
or	CC	O
privileged	JJ	TECHNIQUE
access	NN	TECHNIQUE
accounts	NNS	TECHNIQUE
,	,	O
the	DT	O
suspects	NNS	O
were	VBD	O
then	RB	O
able	JJ	O
to	TO	O
deploy	VB	O
the	DT	O
point	NN	O
-	:	O
of	IN	O
-	:	O
sale	NN	O
(	(	O
PoS	NNP	O
)	)	O
malware	NN	O
and	CC	O
subsequently	RB	O
exfiltrate	JJ	EFFECT
consumer	NN	EFFECT
payment	NN	EFFECT
data	NNS	EFFECT
via	IN	O
an	DT	O
encrypted	JJ	O
POST	NNP	O
request	NN	O
0	0	O
"	VB	O
Backoff	NNP	O
"	NNP	O
is	VBZ	O
a	DT	O
family	NN	O
of	IN	O
PoS	NNP	O
malware	NN	O
and	CC	O
has	VBZ	O
been	VBN	O
discovered	VBN	O
recently	RB	O
0	0	O
The	DT	O
malware	NN	O
family	NN	O
has	VBZ	O
been	VBN	O
witnessed	VBN	O
on	IN	O
at	IN	O
least	JJS	O
three	CD	O
separate	JJ	O
forensic	JJ	O
investigations	NNS	O
0	0	O
Researchers	NNS	O
have	VBP	O
identified	VBN	O
