A	DT	O
powerful	JJ	O
threat	NN	O
actor	NN	O
known	VBN	O
as	IN	O
"	JJ	O
Wild	NNP	ACTOR
Neutron	NNP	ACTOR
"	NNP	O
(	(	O
also	RB	O
known	VBN	O
as	IN	O
"	JJ	O
Jripbot	NNP	ACTOR
"	NNP	O
and	CC	O
"	NNP	O
Morpho	NNP	ACTOR
"	NNP	O
)	)	O
has	VBZ	O
been	VBN	O
active	JJ	O
since	IN	O
at	IN	O
least	JJS	O
2011	CD	O
,	,	O
infecting	VBG	O
high	JJ	INDUSTRY
profile	NN	INDUSTRY
companies	NNS	INDUSTRY
for	IN	O
several	JJ	O
years	NNS	O
by	IN	O
using	VBG	O
a	DT	O
combination	NN	O
of	IN	O
exploits	NNS	O
,	,	O
watering	VBG	TECHNIQUE
holes	NNS	TECHNIQUE
and	CC	O
multi	SYM	O
-	:	O
platform	NN	O
malware	NN	O
.	.	O
The	DT	O
latest	JJS	O
round	NN	O
of	IN	O
attacks	NNS	O
in	IN	O
2015	CD	O
uses	VBZ	O
a	DT	O
stolen	JJ	O
code	NN	O
signing	VBG	O
certificate	NN	O
belonging	NN	O
to	TO	O
Taiwanese	JJ	O
electronics	NNS	O
maker	NN	O
Acer	NNP	O
and	CC	O
an	DT	O
unknown	JJ	O
Flash	NNP	APP
Player	NNP	APP
exploit	NN	O
.	.	O
Wild	NNP	ACTOR
Neutron	NNP	ACTOR
hit	VBD	O
the	DT	O
spotlight	NN	O
in	IN	O
2013	CD	O
,	,	O
when	WRB	O
it	PRP	O
successfully	RB	O
infected	JJ	O
companies	NNS	O
such	JJ	O
as	IN	O
Apple	NNP	O
,	,	O
Facebook	NNP	O
,	,	O
Twitter	NNP	O
and	CC	O
Microsoft	NNP	O
.	.	O
This	DT	O
attack	NN	O
took	VBD	O
advantage	NN	O
of	IN	O
a	DT	O
Java	NNP	APP
zero	CD	O
-	:	O
day	NN	O
exploit	FW	O
and	CC	O
used	VBD	O
hacked	VBN	O
forums	NNS	O
as	IN	O
watering	NN	TECHNIQUE
holes	NNS	TECHNIQUE
.	.	O
The	DT	O
2013	CD	O
incident	NN	O
was	VBD	O
highly	RB	O
publicized	VBN	O
and	CC	O
,	,	O
in	IN	O
the	DT	O
aftermath	NN	O
,	,	O
the	DT	O
threat	NN	O
actor	NN	O
went	VBD	O
dark	NN	O
for	IN	O
almost	RB	O
one	CD	O
year	NN	O
.	.	O
In	IN	O
late	JJ	O
2013	CD	O
and	CC	O
early	JJ	O
2014	CD	O
the	DT	O
attacks	NNS	O
resumed	VBD	O
and	CC	O
continued	VBD	O
throughout	IN	O
2015	CD	O
.	.	O
Targets	NNS	O
of	IN	O
the	DT	O
new	JJ	O
attacks	NNS	O
include	VBP	O
:	:	O
Law	JJ	INDUSTRY
firms	NNS	INDUSTRY
,	,	O
Bitcoin	NNP	O
-	:	O
related	JJ	O
companies	NNS	O
,	,	O
investment	NN	INDUSTRY
companies	NNS	INDUSTRY
,	,	O
large	JJ	INDUSTRY
company	NN	INDUSTRY
groups	NNS	INDUSTRY
often	RB	O
involved	VBN	O
in	IN	O
M&A	NNP	O
deals	NNS	O
,	,	O
IT	NNP	INDUSTRY
companies	NNS	INDUSTRY
,	,	O
healthcare	NN	INDUSTRY
companies	NNS	INDUSTRY
and	CC	O
real	JJ	INDUSTRY
estate	NN	INDUSTRY
companies	NNS	INDUSTRY
.	.	O
The	DT	O
focus	NN	O
of	IN	O
these	DT	O
attacks	NNS	O
suggests	VBZ	O
this	DT	O
is	VBZ	O
not	RB	O
a	DT	O
nation	NN	O
-	:	O
state	NN	O
sponsored	VBD	O
actor	NN	O
.	.	O
However	RB	O
,	,	O
the	DT	O
use	NN	O
of	IN	O
zero	CD	O
-	:	O
days	NNS	O
,	,	O
multi	SYM	O
-	:	O
platform	NN	O
malware	NN	O
as	RB	O
well	RB	O
as	IN	O
other	JJ	O
techniques	NNS	O
makes	VBZ	O
us	PRP	O
believe	VB	O
it	PRP	O
's	VBZ	O
a	DT	O
powerful	JJ	O
entity	NN	O
engaged	VBN	O
in	IN	O
espionage	NN	EFFECT
,	,	O
possibly	RB	O
for	IN	O
economic	JJ	EFFECT
reasons	NNS	EFFECT
.	.	O
Back	RB	O
in	IN	O
2013	CD	O
,	,	O
the	DT	O
attackers	NNS	O
also	RB	O
leveraged	VBD	O
a	DT	O
Mac	NNP	OS
OS	NNP	OS
X	NNP	OS
backdoor	NN	TOOL
,	,	O
known	VBN	O
as	IN	O
OSX	NNP	O
/	NNP	O
Pintsized	NNP	O
.	.	O
This	DT	O
is	VBZ	O
also	RB	O
described	VBN	O
in	IN	O
more	JJR	O
detail	NN	O
in	IN	O
Eric	NNP	O
Romang	NNP	O
's	POS	O
excellent	JJ	O
blog	NN	O
.	.	O
The	DT	O
same	JJ	O
backdoor	NN	TOOL
,	,	O
compiled	VBN	O
for	IN	O
Win32	NNP	O
,	,	O
is	VBZ	O
still	RB	O
being	VBG	O
used	VBN	O
in	IN	O
the	DT	O
2015	CD	O
attacks	NNS	O
.	.	O
The	DT	O
malware	NN	O
set	VBN	O
used	VBN	O
by	IN	O
the	DT	O
Wild	NNP	ACTOR
Neutron	NNP	ACTOR
threat	NN	O
actor	NN	O
has	VBZ	O
several	JJ	O
component	NN	O
groups	NNS	O
,	,	O
including	VBG	O
a	DT	O
main	JJ	O
backdoor	NN	TOOL
module	NN	O
that	WDT	O
initiates	VBZ	O
the	DT	O
first	JJ	O
communication	NN	TECHNIQUE
with	IN	TECHNIQUE
C&C	NNP	TECHNIQUE
server	NN	TECHNIQUE
,	,	O
several	JJ	O
information	NN	TOOL
gathering	NN	TOOL
modules	NNS	TOOL
,	,	O
exploitation	NN	TOOL
tools	NNS	TOOL
,	,	O
SSH	NNP	TOOL
-	:	TOOL
based	VBN	TOOL
exfiltration	NN	TOOL
tools	NNS	TOOL
,	,	O
and	CC	O
intermediate	JJ	TOOL
loaders	NNS	TOOL
and	CC	O
droppers	NNS	TOOL
that	WDT	O
decrypt	VBP	O
and	CC	O
run	VBP	O
the	DT	O
payloads	NNS	O
.	.	O
Although	IN	O
customized	VBN	O
,	,	O
some	DT	O
of	IN	O
the	DT	O
