This	DT	O
MPK	NNP	TOOL
IRC	NNP	TOOL
bot	NN	TOOL
is	VBZ	O
very	RB	O
similar	JJ	O
to	TO	O
the	DT	O
MPK	NNP	TOOL
Trojan	NNP	TOOL
that	WDT	O
used	VBD	O
a	DT	O
custom	NN	O
C2	NNP	TECHNIQUE
communications	NNS	O
protocol	NN	O
,	,	O
as	IN	O
discussed	VBN	O
in	IN	O
the	DT	O
whitepaper	NN	O
by	IN	O
CheckPoint	NNP	O
discussing	VBG	O
a	DT	O
threat	NN	O
group	NN	O
called	VBD	O
Rocket	NNP	ACTOR
Kitten	NNP	ACTOR
.	.	O
We	PRP	O
believe	VBP	O
this	DT	O
version	NN	O
of	IN	O
the	DT	O
MPK	NNP	TOOL
Trojan	NNP	TOOL
is	VBZ	O
based	VBN	O
on	IN	O
the	DT	O
same	JJ	O
code	NN	O
base	NN	O
,	,	O
as	IN	O
both	DT	O
the	DT	O
IRC	NNP	O
version	NN	O
and	CC	O
the	DT	O
one	CD	O
discussed	VBN	O
in	IN	O
the	DT	O
above	JJ	O
white	JJ	O
paper	NN	O
have	VBP	O
considerable	JJ	O
similarities	NNS	O
from	IN	O
a	DT	O
behavior	JJ	O
standpoint	NN	O
and	CC	O
both	DT	O
Trojan	NNP	TOOL
have	VBP	O
direct	JJ	O
code	NN	O
sharing	VBG	O
between	IN	O
them	PRP	O
.	.	O
From	IN	O
a	DT	O
behaviorial	JJ	O
standpoint	NN	O
,	,	O
both	CC	O
the	DT	O
IRC	NNP	O
and	CC	O
custom	NN	O
protocol	JJ	O
version	NN	O
of	IN	O
MPK	NNP	O
save	VBP	O
"	NNP	O
tmp.vbs	NN	O
"	NN	O
and	CC	O
"	NNP	O
tmp1.vbs	VBP	O
"	NN	O
to	TO	O
the	DT	O
%	NN	O
TEMP%	NNP	O
folder	NN	O
(	(	O
both	DT	O
differed	VBN	O
slightly	RB	O
but	CC	O
used	VBD	O
the	DT	O
same	JJ	O
variable	JJ	O
names	NNS	O
within	IN	O
the	DT	O
script	NN	O
)	)	O
in	IN	O
order	NN	O
to	TO	O
copy	VB	O
the	DT	O
Trojan	NNP	TOOL
to	TO	O
its	PRP$	O
final	JJ	O
location	NN	O
and	CC	O
to	TO	O
execute	VB	O
it	PRP	O
.	.	O
Both	DT	O
variants	NNS	O
need	VBP	O
to	TO	O
be	VB	O
executed	VBN	O
with	IN	O
the	DT	O
command	NN	O
line	NN	O
argument	NN	O
