Our	PRP$	O
research	NN	O
indicates	VBZ	O
Operation	NNP	O
Dust	NNP	O
Storm	NN	O
has	VBZ	O
been	VBN	O
operational	JJ	O
since	IN	O
at	IN	O
least	JJS	O
early	JJ	O
2010	CD	O
,	,	O
and	CC	O
has	VBZ	O
employed	VBN	O
a	DT	O
number	NN	O
of	IN	O
different	JJ	O
operational	JJ	O
techniques	NNS	O
,	,	O
including	VBG	O
spear	JJ	TECHNIQUE
phishing	NN	TECHNIQUE
,	,	O
waterholes	NNS	TECHNIQUE
,	,	O
and	CC	O
zero	CD	TECHNIQUE
-	:	TECHNIQUE
day	NN	TECHNIQUE
exploits	VBZ	TECHNIQUE
over	IN	O
time	NN	O
.	.	O
Several	JJ	O
antivirus	NN	O
companies	NNS	O
initially	RB	O
detected	VBD	O
early	JJ	O
backdoor	NN	TOOL
samples	NNS	O
under	IN	O
the	DT	O
moniker	NN	O
Misdat	NNP	MALWARE
,	,	O
but	CC	O
the	DT	O
group	NN	O
has	VBZ	O
quietly	RB	O
evolved	VBN	O
over	IN	O
the	DT	O
years	NNS	O
to	TO	O
remain	VB	O
undetected	JJ	O
and	CC	O
highly	RB	O
effective	JJ	O
.	.	O
Very	RB	O
little	JJ	O
public	JJ	O
information	NN	O
was	VBD	O
available	JJ	O
throughout	IN	O
2010	CD	O
on	IN	O
this	DT	O
threat	NN	O
,	,	O
despite	IN	O
the	DT	O
group	NN	O
's	POS	O
primary	JJ	O
backdoor	NN	TOOL
gaining	VBG	O
some	DT	O
level	NN	O
of	IN	O
prominence	NN	O
in	IN	O
targeted	JJ	O
Asian	JJ	LOCATION
attacks	NNS	O
.	.	O
This	DT	O
may	MD	O
be	VB	O
explained	VBN	O
by	IN	O
the	DT	O
group	NN	O
's	POS	O
early	JJ	O
reliance	NN	O
on	IN	O
Dynamic	NNP	TECHNIQUE
DNS	NNP	TECHNIQUE
domains	NNS	TECHNIQUE
for	IN	O
their	PRP$	O
command	NN	TECHNIQUE
and	CC	TECHNIQUE
control	NN	TECHNIQUE
(	(	O
C2	NNP	TECHNIQUE
)	)	O
infrastructure	NN	O
,	,	O
as	RB	O
well	RB	O
as	IN	O
their	PRP$	O
use	NN	O
of	IN	O
public	JJ	O
RATs	NNP	O
like	IN	O
Poison	NNP	MALWARE
Ivy	NNP	MALWARE
and	CC	O
Gh0st	NNP	MALWARE
RAT	NNP	MALWARE
for	IN	O
second	JJ	O
-	:	O
stage	NN	O
implants	NNS	O
.	.	O
The	DT	O
actors	NNS	O
relied	VBD	O
heavily	RB	O
on	IN	O
the	DT	O
free	JJ	O
Dynamic	NNP	TECHNIQUE
DNS	NNP	TECHNIQUE
providers	VBZ	O
No	NNP	O
-	:	O
IP	NNP	O
(	(	O
http://www.noip.com	NN	O
)	)	O
,	,	O
Oray	NNP	TOOL
(	(	O
http://www.oray.com/	NN	O
)	)	O
and	CC	O
3322	CD	TOOL
(	(	O
http://www.pubyun.com/	NN	O
)	)	O
for	IN	O
their	PRP$	O
infrastructure	NN	O
continuing	VBG	O
into	IN	O
2011	CD	O
;	:	O
the	DT	O
earliest	JJS	O
known	JJ	O
backdoors	NNS	O
SPEAR	NNP	O
identified	VBD	O
communicated	VBN	O
to	TO	O
"	VB	O
323332.3322.org	CD	O
"	NN	O
and	CC	O
"	$	O
1stone.zapto.org	CD	O
"	NN	O
.	.	O
It	PRP	O
was	VBD	O
n't	RB	O
until	IN	O
June	NNP	O
2011	CD	O
that	IN	O
Operation	NNP	O
Dust	NNP	O
Storm	NNP	O
started	VBD	O
to	TO	O
garner	VB	O
some	DT	O
notoriety	NN	O
from	IN	O
a	DT	O
series	NN	O
of	IN	O
attacks	NNS	O
which	WDT	O
leveraged	VBD	O
an	DT	O
unpatched	JJ	O
Internet	NNP	APP
Explorer	NNP	APP
vulnerability	NN	O
,	,	O
CVE-2011	NNP	O
-	:	O
1255	CD	O
,	,	O
to	TO	O
gain	VB	O
a	DT	O
foothold	NN	O
into	IN	O
victim	NN	O
networks	NNS	O
.	.	O
In	IN	O
these	DT	O
attacks	NNS	O
,	,	O
a	DT	O
link	NN	O
to	TO	O
the	DT	O
exploit	NN	O
was	VBD	O
sent	VBN	O
via	IN	O
a	DT	O
spear	JJ	TECHNIQUE
phishing	VBG	TECHNIQUE
email	NN	TECHNIQUE
from	IN	O
a	DT	O
purported	VBN	O
Chinese	JJ	O
student	NN	O
seeking	VBG	O
advice	NN	O
or	CC	O
asking	VBG	O
the	DT	O
target	NN	O
a	DT	O
question	NN	O
following	VBG	O
a	DT	O
presentation	NN	O
.	.	O
Media	NNP	O
coverage	NN	O
of	IN	O
these	DT	O
attacks	NNS	O
included	VBD	O
"	JJ	O
http://www.symantec.com/connect/blogs/inside-back-door-attack	NN	O
"	NN	O
and	CC	O
"	NNP	O
http://asec.ahnlab.com/730	NN	O
"	NNP	O
which	WDT	O
named	VBD	O
the	DT	O
early	JJ	O
backdoor	NN	TOOL
variants	NNS	O
"	VBP	O
Misdat	NNP	MALWARE
"	NNP	O
.	.	O
The	DT	O
secondary	JJ	O
C2	NNP	TECHNIQUE
server	NN	O
from	IN	O
Symantec	NNP	O
's	POS	O
writeup	NN	O
was	VBD	O
mentioned	VBN	O
in	IN	O
news	NN	O
reports	NNS	O
elsewhere	RB	O
as	IN	O
"	JJ	O
honeywells.tk	NN	O
"	NN	O
;	:	O
this	DT	O
domain	NN	O
resolved	VBD	O
to	TO	O
"	VB	O
111.1.1.66	CD	O
"	NN	O
during	IN	O
early	JJ	O
June	NNP	O
2011	CD	O
.	.	O
This	DT	O
address	NN	O
is	VBZ	O
coincidentally	RB	O
the	DT	O
same	JJ	O
IP	NNP	O
address	NN	O
that	IN	O
one	CD	O
of	IN	O
the	DT	O
earliest	JJS	O
Misdat	NN	MALWARE
samples	NNS	O
that	WDT	O
SPEAR	NNP	O
identified	VBD	O
beaconed	VBN	O
to	TO	O
during	IN	O
the	DT	O
same	JJ	O
timeframe	NN	O
.	.	O
The	DT	O
attack	NN	O
was	VBD	O
initiated	VBN	O
by	IN	O
a	DT	O
spear	JJ	TECHNIQUE
phishing	NN	TECHNIQUE
email	NN	O
that	WDT	O
contained	VBD	O
a	DT	O
Word	NNP	O
document	NN	O
embedded	VBD	O
with	IN	O
a	DT	O
zero	CD	O
-	:	O
day	NN	O
Flash	NNP	APP
exploit	NN	O
(	(	O
CVE-2011	NNP	O
-	:	O
0611	CD	O
)	)	O
.	.	O
The	DT	O
final	JJ	O
payload	NN	O
described	VBN	O
in	IN	O
the	DT	O
report	NN	O
matched	VBD	O
other	JJ	O
confirmed	VBD	O
Misdat	NNP	MALWARE
samples	NNS	O
,	,	O
and	CC	O
beaconed	VBD	O
to	TO	O
"	VB	O
msejake.7766.org	NN	O
"	NNP	O
,	,	O
which	WDT	O
first	RB	O
resolved	VBD	O
to	TO	O
"	VB	O
125.46.42.221	CD	O
"	NNP	O
,	,	O
then	RB	O
later	RB	O
to	TO	O
"	VB	O
218.106.246.220	CD	O
"	NN	O
at	IN	O
the	DT	O
time	NN	O
of	IN	O
the	DT	O
attack	NN	O
.	.	O
In	IN	O
2012	CD	O
,	,	O
Operation	NNP	O
Dust	NNP	O
Storm	NNP	O
slowly	RB	O
migrated	VBD	O
to	TO	O
a	DT	O
hybridized	JJ	O
backdoor	NN	TOOL
,	,	O
which	WDT	O
actually	RB	O
contained	VBD	O
two	CD	O
entirely	RB	O
separate	JJ	O
backdoors	NNS	O
within	IN	O
the	DT	O
same	JJ	O
binary	NN	O
.	.	O
This	DT	O
backdoor	NN	TOOL
would	MD	O
first	VB	O
attempt	NN	O
to	TO	O
establish	VB	O
an	DT	O
interactive	JJ	O
shell	NN	O
using	VBG	O
the	DT	O
Misdat	NNP	MALWARE
base64	NN	O
encoded	VBD	O
network	NN	O
protocol	NN	O
over	IN	O
a	DT	O
raw	JJ	O
TCP	NNP	O
socket	NN	O
.	.	O
If	IN	O
the	DT	O
initial	JJ	O
communication	NN	O
to	TO	O
the	DT	O
first	JJ	O
C2	NNP	TECHNIQUE
failed	VBD	O
,	,	O
the	DT	O
backdoor	NN	TOOL
would	MD	O
fallback	VB	O
to	TO	O
a	DT	O
secondary	JJ	O
HTTP	NNP	O
-	:	O
based	VBN	O
protocol	NN	O
and	CC	O
communicate	NN	O
to	TO	O
an	DT	O
alternate	NN	O
C2	NNP	TECHNIQUE
.	.	O
Hybrid	JJ	O
variants	NNS	O
SPEAR	NNP	O
identified	VBN	O
were	VBD	O
compressed	VBN	O
with	IN	O
UPX	NNP	MALWARE
version	NN	O
3.03	CD	O
.	.	O
