Proofpoint	NN	O
researchers	NNS	O
recently	RB	O
uncovered	VBD	O
evidence	NN	O
of	IN	O
an	DT	O
advanced	JJ	O
persistent	NN	O
threat	NN	O
(	(	O
APT	NNP	O
)	)	O
against	IN	O
Indian	JJ	LOCATION
diplomatic	JJ	INDUSTRY
and	CC	O
military	JJ	INDUSTRY
resources	NNS	O
.	.	O
Our	PRP$	O
investigation	NN	O
began	VBD	O
with	IN	O
malicious	JJ	TECHNIQUE
emails	NNS	TECHNIQUE
sent	VBD	O
to	TO	O
Indian	JJ	LOCATION
embassies	NNS	INDUSTRY
in	IN	O
Saudi	NNP	LOCATION
Arabia	NNP	LOCATION
and	CC	O
Kazakstan	NNP	LOCATION
but	CC	O
turned	VBD	O
up	RP	O
connections	NNS	O
to	TO	O
watering	VBG	TECHNIQUE
hole	NN	TECHNIQUE
sites	NNS	O
focused	VBD	O
on	IN	O
Indian	JJ	LOCATION
military	JJ	INDUSTRY
personnel	NNS	O
and	CC	O
designed	VBN	O
to	TO	O
drop	VB	O
a	DT	O
remote	JJ	TOOL
access	NN	TOOL
Trojan	NNP	TOOL
(	(	O
RAT	NNP	O
)	)	O
with	IN	O
a	DT	O
variety	NN	O
of	IN	O
data	NNS	EFFECT
exfiltration	NN	EFFECT
functions	NNS	O
.	.	O
Our	PRP$	O
analysis	NN	O
shows	VBZ	O
that	IN	O
many	JJ	O
of	IN	O
the	DT	O
campaigns	NNS	O
and	CC	O
attacks	NNS	O
appear	VBP	O
related	VBN	O
by	IN	O
common	JJ	O
IOCs	NNP	O
,	,	O
vectors	NNS	O
,	,	O
payloads	NNS	O
,	,	O
and	CC	O
language	NN	O
,	,	O
but	CC	O
the	DT	O
exact	JJ	O
nature	NN	O
and	CC	O
attribution	NN	O
associated	VBN	O
with	IN	O
this	DT	O
APT	NNP	O
remain	VBP	O
under	IN	O
investigation	NN	O
.	.	O
On	IN	O
February	NNP	O
11	CD	O
,	,	O
2016	CD	O
,	,	O
we	PRP	O
discovered	VBD	O
two	CD	O
attacks	NNS	O
minutes	NNS	O
apart	RB	O
directed	VBD	O
towards	NNS	O
officials	NNS	O
at	IN	O
Indian	JJ	LOCATION
embassies	NNS	INDUSTRY
in	IN	O
both	DT	O
Saudi	NNP	LOCATION
Arabia	NNP	LOCATION
and	CC	O
