Taiwan	NNP	LOCATION
has	VBZ	O
long	RB	O
been	VBN	O
subjected	VBN	O
to	TO	O
persistent	JJ	O
targeting	VBG	O
from	IN	O
espionage	NN	EFFECT
motivated	VBN	O
threat	NN	O
actors	NNS	O
.	.	O
This	DT	O
blog	NN	O
presents	VBZ	O
our	PRP$	O
analysis	NN	O
of	IN	O
one	CD	O
of	IN	O
the	DT	O
latest	JJS	O
malware	NN	O
variants	NNS	O
targeting	VBG	O
individuals	NNS	O
in	IN	O
Taiwan	NNP	LOCATION
,	,	O
which	WDT	O
exhibits	VBZ	O
some	DT	O
interesting	JJ	O
characteristics	NNS	O
that	WDT	O
can	MD	O
be	VB	O
useful	JJ	O
for	IN	O
detecting	VBG	O
and	CC	O
defending	VBG	O
against	IN	O
the	DT	O
threat	NN	O
-	:	O
including	VBG	O
the	DT	O
creation	NN	O
of	IN	O
an	DT	O
obese	JJ	O
file	NN	O
,	,	O
weighing	VBG	O
in	IN	O
at	IN	O
500	CD	O
MB	NNP	O
,	,	O
as	IN	O
part	NN	O
of	IN	O
its	PRP$	O
execution	NN	O
.	.	O
The	DT	O
figures	NNS	O
below	IN	O
show	VBP	O
some	DT	O
of	IN	O
the	DT	O
slides	NNS	O
from	IN	O
the	DT	O
slideshow	NN	O
.	.	O
All	PDT	O
the	DT	O
contents	NNS	O
in	IN	O
the	DT	O
slideshow	NN	O
are	VBP	O
written	VBN	O
in	IN	O
Traditional	NNP	O
Chinese	NNP	O
,	,	O
which	WDT	O
is	VBZ	O
typically	RB	O
used	VBN	O
in	IN	O
provinces	NNS	O
in	IN	O
Southern	JJ	LOCATION
China	NNP	LOCATION
such	JJ	O
as	IN	O
Guangdong	NNP	LOCATION
and	CC	O
Hong	NNP	LOCATION
Kong	NNP	LOCATION
,	,	O
as	RB	O
well	RB	O
as	IN	O
Taiwan	NNP	LOCATION
.	.	O
Since	IN	O
the	DT	O
topic	NN	O
of	IN	O
the	DT	O
slideshow	NN	O
relates	VBZ	O
explicitly	RB	O
to	TO	O
Taiwanese	NNP	O
and	CC	O
the	DT	O
submission	NN	O
was	VBD	O
from	IN	O
Taiwan	NNP	LOCATION
,	,	O
we	PRP	O
assess	VBP	O
the	DT	O
attacker	NN	O
was	VBD	O
likely	JJ	O
targeting	VBG	O
Taiwanese	JJ	O
individuals	NNS	O
.	.	O
Given	VBN	O
the	DT	O
use	NN	O
of	IN	O
a	DT	O
malicious	JJ	O
document	NN	O
as	IN	O
the	DT	O
initial	JJ	TECHNIQUE
lure	NN	TECHNIQUE
,	,	O
the	DT	O
delivery	NN	O
method	NN	O
in	IN	O
this	DT	O
campaign	NN	O
is	VBZ	O
almost	RB	O
certainly	RB	O
spear	JJ	O
-	:	O
phishing	NN	O
.	.	O
Once	RB	O
the	DT	O
slideshow	NN	O
file	NN	O
is	VBZ	O
opened	VBN	O
,	,	O
whilst	VBZ	O
the	DT	O
slides	NNS	O
are	VBP	O
displayed	VBN	O
in	IN	O
full	JJ	O
screen	NN	O
mode	NN	O
,	,	O
the	DT	O
malware	NN	O
is	VBZ	O
dropped	VBN	O
in	IN	O
the	DT	O
background	NN	O
.	.	O
Specifically	RB	O
,	,	O
two	CD	O
files	NNS	O
are	VBP	O
dropped	VBN	O
into	IN	O
the	DT	O
%	NN	O
TEMP%directory	NN	O
:	:	O
hlwyss.jpg	NN	O
and	CC	O
hlwyss.inf	NN	O
.	.	O
The	DT	O
hlwyss.inf	NN	O
is	VBZ	O
an	DT	O
INF	NNP	TOOL
file	NN	TOOL
which	WDT	O
specifies	VBZ	O
file	NN	O
system	NN	O
operations	NNS	O
required	VBN	O
to	TO	O
install	VB	O
the	DT	O
malware	NN	O
(	(	O
as	IN	O
shown	VBN	O
in	IN	O
Figure	NNP	O
4	CD	O
)	)	O
.	.	O
The	DT	O
use	NN	O
of	IN	O
an	DT	O
embedded	JJ	O
INF	NNP	TOOL
file	NN	TOOL
for	IN	O
malware	NN	O
installation	NN	O
is	VBZ	O
consistent	JJ	O
with	IN	O
the	DT	O
Metasploit	NNP	TOOL
implantation	NN	O
of	IN	O
CVE-2014	NNP	O
-	:	O
4114	CD	O
,	,	O
better	JJR	O
known	VBN	O
as	IN	O
the	DT	O
'	''	O
Sandworm	NNP	O
'	POS	O
vulnerability	NN	O
.	.	O
On	IN	O
examining	VBG	O
logs	NNS	O
produced	VBN	O
during	IN	O
execution	NN	O
by	IN	O
ProcessMonitor	NNP	O
,	,	O
we	PRP	O
find	VBP	O
that	DT	O
aside	RB	O
from	IN	O
following	VBG	O
the	DT	O
instructions	NNS	O
outlined	VBN	O
in	IN	O
the	DT	O
INF	NNP	TOOL
file	NN	TOOL
,	,	O
the	DT	O
malware	NN	O
proceeds	NNS	O
to	TO	O
perform	VB	O
additional	JJ	O
operations	NNS	O
to	TO	O
complete	VB	O
its	PRP$	O
installation	NN	O
.	.	O
In	IN	O
particular	JJ	O
,	,	O
the	DT	O
malware	NN	O
replicates	VBZ	O
itself	PRP	O
in	IN	O
the	DT	O
%	NN	O
AppData%\Roaming\Programs	NNP	O
folder	NN	O
and	CC	O
names	VBZ	O
its	PRP$	O
cloned	JJ	O
copy	NN	O
'	''	O
