The	DT	O
DragonOK	NNP	ACTOR
group	NN	O
has	VBZ	O
been	VBN	O
actively	RB	O
launching	VBG	O
attacks	NNS	O
for	IN	O
years	NNS	O
.	.	O
We	PRP	O
first	RB	O
discussed	VBD	O
them	PRP	O
in	IN	O
April	NNP	O
2015	CD	O
when	WRB	O
we	PRP	O
witnessed	VBD	O
them	PRP	O
targeting	VBG	O
a	DT	O
number	NN	O
of	IN	O
organizations	NNS	O
in	IN	O
Japan	NNP	LOCATION
.	.	O
In	IN	O
recent	JJ	O
months	NNS	O
,	,	O
Unit	NNP	O
42	CD	O
has	VBZ	O
observed	VBN	O
a	DT	O
number	NN	O
of	IN	O
attacks	NNS	O
that	IN	O
we	PRP	O
attribute	VBP	O
to	TO	O
this	DT	O
group	NN	O
.	.	O
Multiple	JJ	O
new	JJ	O
variants	NNS	O
of	IN	O
the	DT	O
previously	RB	O
discussed	VBN	O
sysget	NN	MALWARE
malware	NN	O
family	NN	O
have	VBP	O
been	VBN	O
observed	VBN	O
in	IN	O
use	NN	O
by	IN	O
DragonOK	NNP	ACTOR
.	.	O
Sysget	NNP	MALWARE
malware	NN	O
was	VBD	O
delivered	VBN	O
both	DT	O
directly	RB	O
via	IN	O
phishing	VBG	TECHNIQUE
emails	NNS	TECHNIQUE
,	,	O
as	RB	O
well	RB	O
as	IN	O
in	IN	O
Rich	NNP	O
Text	NNP	O
Format	NNP	O
(	(	O
RTF	NNP	O
)	)	O
documents	NNS	O
exploiting	VBG	O
the	DT	O
CVE-2015	NNP	O
-	:	O
1641	CD	O
vulnerability	NN	O
(	(	O
patched	VBN	O
in	IN	O
MS15	NNP	O
-	:	O
033	CD	O
)	)	O
that	IN	O
in	IN	O
turn	NN	O
leveraged	VBN	O
a	DT	O
very	RB	O
unique	JJ	O
shellcode	NN	TOOL
.	.	O
Additionally	RB	O
,	,	O
we	PRP	O
have	VBP	O
observed	VBN	O
instances	NNS	O
of	IN	O
the	DT	O
IsSpace	NNP	MALWARE
and	CC	O
TidePool	NNP	MALWARE
malware	NN	O
families	NNS	O
being	VBG	O
delivered	VBN	O
via	IN	O
the	DT	O
same	JJ	O
techniques	NNS	O
.	.	O
While	IN	O
Japan	NNP	LOCATION
is	VBZ	O
still	RB	O
the	DT	O
most	RBS	O
heavily	RB	O
targeted	VBN	O
geographic	JJ	O
region	NN	O
by	IN	O
this	DT	O
particular	JJ	O
actor	NN	O
,	,	O
we	PRP	O
also	RB	O
observed	VBD	O
instances	NNS	O
where	WRB	O
individuals	NNS	O
or	CC	O
organizations	NNS	O
in	IN	O
Taiwan	NNP	LOCATION
,	,	O
Tibet	NNP	LOCATION
,	,	O
and	CC	O
Russia	NNP	LOCATION
also	RB	O
may	MD	O
have	VB	O
been	VBN	O
targeted	VBN	O
.	.	O
We	PRP	O
observed	VBD	O
two	CD	O
unique	JJ	O
techniques	NNS	O
of	IN	O
infiltration	NN	O
for	IN	O
this	DT	O
particular	JJ	O
campaign	NN	O
:	:	O
Phishing	NN	TECHNIQUE
emails	NNS	TECHNIQUE
being	VBG	O
sent	VBN	O
with	IN	O
malicious	JJ	O
executables	NNS	O
directly	RB	O
attached	VBN	O
and	CC	O
Malicious	NNP	O
RTF	NNP	O
files	NNS	O
which	WDT	O
exploit	VBP	O
CVE-2015	NNP	O
-	:	O
1641	CD	O
.	.	O
These	DT	O
emails	NNS	O
targeted	VBD	O
the	DT	O
following	JJ	O
industries	NNS	O
in	IN	O
Japan	NNP	LOCATION
:	:	O
Manufacturing	NN	INDUSTRY
,	,	O
Education	NNP	INDUSTRY
,	,	O
Energy	NNP	INDUSTRY
,	,	O
Technology	NNP	INDUSTRY
,	,	O
and	CC	O
Semiconductor	NNP	INDUSTRY
.	.	O
The	DT	O
malicious	JJ	O
RTF	NNP	O
files	NNS	O
in	IN	O
question	NN	O
leverage	NN	O
a	DT	O
very	RB	O
specific	JJ	O
shellcode	NN	TOOL
to	TO	O
drop	VB	O
and	CC	O
execute	VB	O
the	DT	O
malicious	JJ	O
payload	NN	O
,	,	O
as	RB	O
well	RB	O
as	IN	O
a	DT	O
decoy	JJ	TECHNIQUE
document	NN	TECHNIQUE
.	.	O
Decoy	JJ	TECHNIQUE
documents	NNS	TECHNIQUE
are	VBP	O
legitimate	JJ	O
benign	JJ	O
documents	NNS	O
that	WDT	O
are	VBP	O
opened	VBN	O
after	IN	O
the	DT	O
malicious	JJ	O
payload	NN	O
is	VBZ	O
delivered	VBN	O
,	,	O
thus	RB	O
ensuring	VBG	O
that	IN	O
the	DT	O
victim	NN	O
does	VBZ	O
not	RB	O
become	VB	O
suspicious	JJ	O
because	IN	O
their	PRP$	O
expected	JJ	O
document	NN	O
opened	VBD	O
as	IN	O
expected	VBN	O
.	.	O
The	DT	O
title	NN	O
of	IN	O
the	DT	O
document	NN	O
roughly	RB	O
translates	VBZ	O
to	TO	O
"	VB	O
Ministry	NNP	O
of	IN	O
Communications	NNP	O
&	CC	O
Departments	NNP	O
Authorities	NNPS	O
Empty	NNP	O
Sites	NNP	O
and	CC	O
Hosted	NNP	O
Public	NNP	O
Works	NNP	O
Source	NNP	O
Clearance	NNP	O
Photos	NNP	O
"	NNP	O
.	.	O
The	DT	O
use	NN	O
of	IN	O
traditional	JJ	O
Chinese	JJ	O
indicators	NNS	O
the	DT	O
target	NN	O
likely	JJ	O
residing	NN	O
in	IN	O
either	DT	O
Taiwan	NNP	LOCATION
,	,	O
Hong	NNP	LOCATION
Kong	NNP	LOCATION
,	,	O
or	CC	O
Macau	NNP	LOCATION
.	.	O
However	RB	O
,	,	O
based	VBN	O
on	IN	O
the	DT	O
Taiwanese	JJ	O
subject	JJ	O
matter	NN	O
in	IN	O
this	DT	O
document	NN	O
,	,	O
we	PRP	O
can	MD	O
safely	RB	O
come	VB	O
to	TO	O
the	DT	O
conclusion	NN	O
that	IN	O
the	DT	O
intended	JJ	O
victim	NN	O
was	VBD	O
of	IN	O
Taiwanese	JJ	O
origin	NN	O
.	.	O
These	DT	O
samples	NNS	O
delivered	VBD	O
an	DT	O
updated	JJ	O
version	NN	O
of	IN	O
the	DT	O
IsSpace	NNP	MALWARE
malware	NNP	O
family	NN	O
,	,	O
which	WDT	O
was	VBD	O
discussed	VBN	O
previously	RB	O
in	IN	O
a	DT	O
watering	NN	TECHNIQUE
hole	NN	TECHNIQUE
attack	NN	O
targeting	VBG	O
an	DT	O
aerospace	NN	INDUSTRY
firm	NN	INDUSTRY
.	.	O
IsSpace	NNP	MALWARE
is	VBZ	O
an	DT	O
evolved	JJ	O
variant	NN	O
of	IN	O
the	DT	O
NFlog	NNP	MALWARE
backdoor	NN	TOOL
,	,	O
which	WDT	O
has	VBZ	O
been	VBN	O
used	VBN	O
by	IN	O
DragonOK	NNP	ACTOR
in	IN	O
the	DT	O
past	NN	O
.	.	O
