The	DT	O
cybercriminal	JJ	O
group	NN	O
behind	IN	O
BlackEnergy	NNP	MALWARE
,	,	O
the	DT	O
malware	NN	O
family	NN	O
that	WDT	O
has	VBZ	O
been	VBN	O
around	IN	O
since	IN	O
2007	CD	O
and	CC	O
has	VBZ	O
made	VBN	O
a	DT	O
comeback	NN	O
in	IN	O
2014	CD	O
in	IN	O
Ukraine	NNP	LOCATION
and	CC	O
Poland	NNP	LOCATION
and	CC	O
BlackEnergy	NNP	MALWARE
PowerPoint	NNP	O
Campaigns	NNP	O
,	,	O
as	RB	O
well	RB	O
as	IN	O
our	PRP$	O
Virus	NNP	O
Bulletin	NNP	O
talk	NN	O
on	IN	O
the	DT	O
subject	NN	O
)	)	O
,	,	O
was	VBD	O
also	RB	O
active	JJ	O
in	IN	O
the	DT	O
year	NN	O
2015	CD	O
.	.	O
ESET	NNP	O
has	VBZ	O
recently	RB	O
discovered	VBN	O
that	IN	O
the	DT	O
BlackEnergy	NNP	MALWARE
trojan	NN	MALWARE
was	VBD	O
recently	RB	O
used	VBN	O
as	IN	O
a	DT	O
backdoor	NN	TOOL
to	TO	O
deliver	VB	O
a	DT	O
destructive	JJ	O
KillDisk	NNP	MALWARE
component	NN	O
in	IN	O
attacks	NNS	O
against	IN	O
Ukrainian	JJ	LOCATION
news	NN	INDUSTRY
media	NNS	INDUSTRY
companies	NNS	INDUSTRY
and	CC	O
against	IN	O
the	DT	O
electrical	JJ	INDUSTRY
power	NN	INDUSTRY
industry	NN	INDUSTRY
.	.	O
In	IN	O
this	DT	O
blog	NN	O
,	,	O
we	PRP	O
provide	VBP	O
details	NNS	O
on	IN	O
the	DT	O
BlackEnergy	NNP	MALWARE
samples	NNS	O
ESET	NNP	O
has	VBZ	O
detected	VBN	O
in	IN	O
2015	CD	O
,	,	O
as	RB	O
well	RB	O
as	IN	O
the	DT	O
KillDisk	NNP	MALWARE
components	NNS	O
used	VBN	O
in	IN	O
the	DT	O
attacks	NNS	O
.	.	O
Furthermore	RB	O
,	,	O
we	PRP	O
examine	VBP	O
a	DT	O
previously	RB	O
unknown	JJ	O
SSH	NNP	O
backdoor	NN	TOOL
that	WDT	O
was	VBD	O
also	RB	O
used	VBN	O
as	IN	O
another	DT	O
channel	NN	O
of	IN	O
accessing	VBG	O
the	DT	O
infected	JJ	O
systems	NNS	O
,	,	O
in	IN	O
addition	NN	O
to	TO	O
BlackEnergy	NNP	MALWARE
.	.	O
The	DT	O
BlackEnergy	NNP	MALWARE
malware	NN	O
stores	NNS	O
XML	VBP	O
configuration	NN	O
data	NNS	O
embedded	VBD	O
in	IN	O
the	DT	O
binary	NN	O
of	IN	O
DLL	NNP	TECHNIQUE
payload	NN	TECHNIQUE
.	.	O
Apart	RB	O
from	IN	O
a	DT	O
list	NN	O
of	IN	O
C&C	NNP	TECHNIQUE
servers	NNS	O
,	,	O
the	DT	O
BlackEnergy	NNP	MALWARE
config	NN	O
contains	VBZ	O
a	DT	O
value	NN	O
called	VBN	O
build_id	NN	O
.	.	O
This	DT	O
value	NN	O
is	VBZ	O
a	DT	O
unique	JJ	O
text	NN	O
string	NN	O
used	VBN	O
to	TO	O
identify	VB	O
individual	JJ	O
infections	NNS	O
or	CC	O
infection	NN	O
attempts	NNS	O
by	IN	O
the	DT	O
BlackEnergy	NNP	MALWARE
malware	NN	O
operators	NNS	O
.	.	O
The	DT	O
combinations	NNS	O
of	IN	O
letters	NNS	O
and	CC	O
numbers	NNS	O
used	VBN	O
can	MD	O
sometimes	RB	O
reveal	VB	O
information	NN	O
about	IN	O
the	DT	O
campaign	NN	O
and	CC	O
targets	NNS	O
.	.	O
In	IN	O
2014	CD	O
some	DT	O
variants	NNS	O
of	IN	O
the	DT	O
BlackEnergy	NNP	MALWARE
trojan	NN	MALWARE
contained	VBD	O
a	DT	O
plugin	NN	O
designed	VBN	O
for	IN	O
the	DT	O
destruction	NN	EFFECT
of	IN	EFFECT
the	DT	EFFECT
infected	JJ	EFFECT
system	NN	EFFECT
,	,	O
named	VBN	O
dstr	NN	O
.	.	O
The	DT	O
first	JJ	O
known	VBN	O
case	NN	O
where	WRB	O
the	DT	O
KillDisk	NNP	MALWARE
component	NN	O
of	IN	O
BlackEnergy	NNP	MALWARE
was	VBD	O
used	VBN	O
was	VBD	O
documented	VBN	O
by	IN	O
CERT	NNP	O
-	:	O
UA	NN	O
in	IN	O
November	NNP	O
2015	CD	O
.	.	O
In	IN	O
that	DT	O
instance	NN	O
,	,	O
a	DT	O
number	NN	O
of	IN	O
news	NN	INDUSTRY
media	NNS	INDUSTRY
companies	NNS	INDUSTRY
were	VBD	O
attacked	VBN	O
at	IN	O
the	DT	O
time	NN	O
of	IN	O
the	DT	O
2015	CD	O
Ukrainian	JJ	LOCATION
local	JJ	O
elections	NNS	O
.	.	O
The	DT	O
report	NN	O
claims	VBZ	O
that	IN	O
a	DT	O
large	JJ	O
number	NN	O
of	IN	O
video	JJ	O
materials	NNS	O
and	CC	O
various	JJ	O
documents	NNS	EFFECT
were	VBD	EFFECT
destroyed	VBN	EFFECT
as	IN	O
a	DT	O
result	NN	O
of	IN	O
the	DT	O
attack	NN	O
.	.	O
It	PRP	O
should	MD	O
be	VB	O
noted	VBN	O
that	IN	O
the	DT	O
Win32/KillDisk	NNP	O
.	.	O
NBB	NNP	O
variant	NN	O
used	VBN	O
against	IN	O
media	NNS	O
companies	NNS	O
is	VBZ	O
more	RBR	O
focused	JJ	O
on	IN	O
destroying	VBG	O
various	JJ	O
types	NNS	O
of	IN	O
files	NNS	O
and	CC	O
documents	NNS	O
.	.	O
It	PRP	O
has	VBZ	O
a	DT	O
long	JJ	O
list	NN	O
of	IN	O
file	JJ	O
extensions	NNS	O
that	IN	O
it	PRP	O
tries	VBZ	O
to	TO	O
overwrite	VB	EFFECT
and	CC	O
delete	VB	EFFECT
.	.	O
The	DT	O
complete	JJ	O
list	NN	O
contains	VBZ	O
more	JJR	O
than	IN	O
4000	CD	O
file	JJ	O
extensions	NNS	O
.	.	O
As	RB	O
well	RB	O
as	IN	O
being	VBG	O
able	JJ	O
to	TO	O
delete	VB	EFFECT
system	NN	O
files	NNS	O
to	TO	O
make	VB	EFFECT
the	DT	EFFECT
system	NN	EFFECT
unbootable	JJ	EFFECT
-	:	O
functionality	NN	O
typical	JJ	O
for	IN	O
such	JJ	O
destructive	JJ	TOOL
trojans	NNS	TOOL
-	:	O
the	DT	O
KillDisk	NNP	MALWARE
variant	NN	O
detected	VBD	O
in	IN	O
the	DT	O
electricity	NN	INDUSTRY
distribution	NN	INDUSTRY
companies	NNS	INDUSTRY
also	RB	O
appears	VBZ	O
to	TO	O
contain	VB	O
some	DT	O
additional	JJ	O
functionality	NN	O
specifically	RB	O
intended	VBN	O
to	TO	O
sabotage	VB	O
industrial	JJ	INDUSTRY
systems	NNS	INDUSTRY
.	.	O
