Cyber	NNP	EFFECT
espionage	NN	EFFECT
actors	NNS	O
,	,	O
now	RB	O
designated	VBN	O
by	IN	O
FireEye	NNP	O
as	IN	O
APT32	NNP	ACTOR
(	(	O
OceanLotus	NNP	ACTOR
Group	NNP	ACTOR
)	)	O
,	,	O
are	VBP	O
carrying	VBG	O
out	RP	O
intrusions	NNS	O
into	IN	O
private	JJ	O
sector	NN	O
companies	NNS	O
across	IN	O
multiple	JJ	O
industries	NNS	O
and	CC	O
have	VBP	O
also	RB	O
targeted	VBN	O
foreign	JJ	INDUSTRY
governments	NNS	INDUSTRY
,	,	O
dissidents	NNS	INDUSTRY
,	,	O
and	CC	O
journalists	NNS	INDUSTRY
.	.	O
FireEye	NNP	O
assesses	VBZ	O
that	IN	O
APT32	NNP	ACTOR
leverages	VBZ	O
a	DT	O
unique	JJ	O
suite	NN	O
of	IN	O
fully	RB	O
-	:	O
featured	VBN	O
malware	NN	O
,	,	O
in	IN	O
conjunction	NN	O
with	IN	O
commercially	RB	O
-	:	O
available	JJ	O
tools	NNS	O
,	,	O
to	TO	O
conduct	VB	O
targeted	JJ	O
operations	NNS	O
that	WDT	O
are	VBP	O
aligned	VBN	O
with	IN	O
Vietnamese	JJ	O
state	NN	O
interests	NNS	O
.	.	O
Since	IN	O
at	IN	O
least	JJS	O
2014	CD	O
,	,	O
FireEye	NNP	O
has	VBZ	O
observed	VBN	O
APT32	NNP	ACTOR
targeting	VBG	O
foreign	JJ	O
corporations	NNS	O
with	IN	O
a	DT	O
vested	JJ	O
interest	NN	O
in	IN	O
Vietnam	NNP	O
's	POS	O
manufacturing	NN	INDUSTRY
,	,	O
consumer	NN	INDUSTRY
products	NNS	INDUSTRY
,	,	O
and	CC	O
hospitality	NN	INDUSTRY
sectors	NNS	INDUSTRY
.	.	O
Furthermore	RB	O
,	,	O
there	EX	O
are	VBP	O
indications	NNS	O
that	IN	O
APT32	NNP	ACTOR
actors	NNS	O
are	VBP	O
targeting	VBG	O
peripheral	JJ	O
network	NN	O
security	NN	O
and	CC	O
technology	NN	O
infrastructure	NN	O
corporations	NNS	O
.	.	O
In	IN	O
their	PRP$	O
current	JJ	O
campaign	NN	O
,	,	O
APT32	NNP	ACTOR
has	VBZ	O
leveraged	VBN	O
ActiveMime	NNP	TOOL
files	NNS	O
that	WDT	O
employ	VBP	O
social	JJ	TECHNIQUE
engineering	NN	TECHNIQUE
methods	NNS	O
to	TO	O
entice	VB	O
the	DT	O
victim	NN	O
into	IN	O
enabling	VBG	O
macros	NNS	O
.	.	O
Upon	IN	O
execution	NN	O
,	,	O
the	DT	O
initialized	JJ	O
file	NN	O
downloads	NNS	O
multiple	RB	O
malicious	JJ	O
payloads	NNS	O
from	IN	O
remote	JJ	O
servers	NNS	O
.	.	O
APT32	NNP	ACTOR
actors	NNS	O
continue	VBP	O
to	TO	O
deliver	VB	O
the	DT	O
malicious	JJ	TECHNIQUE
attachments	NNS	TECHNIQUE
via	IN	O
spear	JJ	O
-	:	O
phishing	NN	O
emails	NNS	O
.	.	O
APT32	NNP	ACTOR
actors	NNS	O
designed	VBD	O
multilingual	JJ	O
lure	NN	O
documents	NNS	O
which	WDT	O
were	VBD	O
tailored	VBN	O
to	TO	O
specific	JJ	O
victims	NNS	O
.	.	O
Although	IN	O
the	DT	O
files	NNS	O
had	VBD	O
"	VBN	O
.doc	JJ	O
"	NNP	O
file	NN	O
extensions	NNS	O
,	,	O
the	DT	O
recovered	JJ	O
phishing	NN	TECHNIQUE
lures	NNS	TECHNIQUE
were	VBD	O
ActiveMime	NNP	TOOL
"	NNP	O
.mht	NN	O
"	JJ	O
web	NN	O
page	NN	O
archives	VBZ	O
that	IN	O
contained	VBD	O
text	NN	O
and	CC	O
images	NNS	O
.	.	O
These	DT	O
files	NNS	O
were	VBD	O
likely	RB	O
created	VBN	O
by	IN	O
exporting	VBG	O
Word	NNP	APP
documents	NNS	O
into	IN	O
single	JJ	O
file	NN	O
web	NN	O
pages	NNS	O
.	.	O
The	DT	O
Base64	NNP	O
encoded	VBD	O
ActiveMime	NNP	TOOL
data	NNS	O
also	RB	O
contained	VBD	O
an	DT	O
OLE	NNP	O
file	NN	O
with	IN	O
malicious	JJ	O
macros	NNS	O
.	.	O
When	WRB	O
opened	VBN	O
,	,	O
many	JJ	O
lure	NN	O
files	NNS	O
displayed	VBD	O
fake	JJ	O
error	NN	O
messages	NNS	O
in	IN	O
an	DT	O
attempt	NN	O
to	TO	O
trick	VB	O
users	NNS	O
into	IN	O
launching	VBG	O
the	DT	O
malicious	JJ	O
macros	NNS	O
.	.	O
Figure	NN	O
1	CD	O
shows	VBZ	O
a	DT	O
fake	JJ	O
Gmail	NNP	O
-	:	O
theme	NN	O
paired	VBN	O
with	IN	O
a	DT	O
hexadecimal	JJ	O
error	NN	O
code	NN	O
that	WDT	O
encourages	VBZ	O
the	DT	O
recipient	NN	O
to	TO	O
enable	VB	O
content	NN	O
to	TO	O
resolve	VB	O
the	DT	O
error	NN	O
.	.	O
Figure	NN	O
2	CD	O
displays	VBZ	O
another	DT	O
APT32	NNP	ACTOR
lure	NN	O
that	WDT	O
used	VBD	O
a	DT	O
convincing	JJ	O
image	NN	O
of	IN	O
a	DT	O
fake	JJ	O
Windows	NNP	O
error	NN	O
message	NN	O
instructing	VBG	O
the	DT	O
recipient	NN	O
to	TO	O
enable	VB	O
content	NN	O
to	TO	O
properly	RB	O
display	VB	O
document	NN	O
font	JJ	O
characters	NNS	O
.	.	O
APT32	NNP	ACTOR
operators	NNS	O
implemented	VBD	O
several	JJ	O
novel	NN	O
techniques	NNS	O
to	TO	O
track	VB	O
the	DT	O
efficacy	NN	O
of	IN	O
their	PRP$	O
phishing	NN	O
,	,	O
monitor	VBP	O
the	DT	O
distribution	NN	O
of	IN	O
their	PRP$	O
malicious	JJ	O
documents	NNS	O
,	,	O
and	CC	O
establish	VB	O
persistence	NN	O
mechanisms	NNS	O
to	TO	O
dynamically	RB	O
update	JJ	O
backdoors	NNS	TOOL
injected	VBD	O
into	IN	O
memory	NN	O
.	.	O
In	IN	O
order	NN	O
to	TO	O
track	VB	O
who	WP	O
opened	VBD	O
the	DT	O
phishing	NN	O
emails	NNS	O
,	,	O
viewed	VBD	O
the	DT	O
links	NNS	O
,	,	O
and	CC	O
downloaded	VBD	O
the	DT	O
attachments	NNS	O
in	IN	O
real	JJ	O
-	:	O
time	NN	O
,	,	O
APT32	NNP	ACTOR
used	VBD	O
cloud	SYM	O
-	:	O
based	VBN	O
email	NN	O
analytics	NNS	O
software	NN	O
designed	VBN	O
for	IN	O
sales	NNS	O
organizations	NNS	O
.	.	O
In	IN	O
some	DT	O
instances	NNS	O
,	,	O
APT32	NNP	ACTOR
abandoned	VBD	O
direct	JJ	O
email	NN	O
attachments	NNS	O
altogether	RB	O
and	CC	O
relied	VBD	O
exclusively	RB	O
on	IN	O
this	DT	O
tracking	NN	O
technique	NN	O
with	IN	O
links	NNS	O
to	TO	O
their	PRP$	O
ActiveMime	NNP	TOOL
lures	VBZ	O
hosted	VBN	O
externally	RB	O
on	IN	O
legitimate	JJ	O
cloud	NN	O
storage	NN	O
services	NNS	O
.	.	O
To	TO	O
enhance	VB	O
visibility	NN	O
into	IN	O
the	DT	O
further	JJ	O
distribution	NN	O
of	IN	O
their	PRP$	O
phishing	NN	TECHNIQUE
lures	NNS	TECHNIQUE
,	,	O
APT32	NNP	ACTOR
utilized	VBD	O
the	DT	O
native	JJ	O
web	NN	O
page	NN	O
functionality	NN	O
of	IN	O
their	PRP$	O
ActiveMime	JJ	TOOL
documents	NNS	O
to	TO	O
link	VB	O
to	TO	O
external	JJ	O
images	NNS	O
hosted	VBN	O
on	IN	O
APT32	NNP	ACTOR
monitored	VBD	O
infrastructure	NN	O
.	.	O
When	WRB	O
a	DT	O
document	NN	O
with	IN	O
this	DT	O
feature	NN	O
is	VBZ	O
opened	VBN	O
,	,	O
Microsoft	NNP	O
Word	NNP	APP
will	MD	O
attempt	VB	O
to	TO	O
download	VB	O
the	DT	O
external	JJ	O
image	NN	O
,	,	O
even	RB	O
if	IN	O
macros	NNS	O
were	VBD	O
disabled	VBN	O
.	.	O
In	IN	O
all	DT	O
phishing	NN	TECHNIQUE
lures	VBZ	TECHNIQUE
analyzed	VBN	O
,	,	O
the	DT	O
external	JJ	O
images	NNS	O
did	VBD	O
not	RB	O
exist	VB	O
.	.	O
Mandiant	JJ	O
consultants	NNS	O
suspect	VBP	O
that	IN	O
APT32	NNP	ACTOR
was	VBD	O
monitoring	VBG	O
web	JJ	O
logs	NNS	O
to	TO	O
track	VB	O
the	DT	O
public	JJ	O
IP	NNP	O
address	NN	O
used	VBN	O
to	TO	O
request	VB	O
remote	JJ	O
images	NNS	O
.	.	O
When	WRB	O
combined	VBN	O
with	IN	O
email	NN	O
tracking	VBG	O
software	NN	O
,	,	O
APT32	NNP	ACTOR
was	VBD	O
able	JJ	O
to	TO	O
closely	RB	O
track	VB	O
phishing	VBG	O
delivery	NN	O
,	,	O
success	NN	O
rate	NN	O
,	,	O
and	CC	O
conduct	VB	O
further	JJ	O
analysis	NN	O
about	IN	O
victim	NN	O
organizations	NNS	O
while	IN	O
monitoring	VBG	O
the	DT	O
interest	NN	O
of	IN	O
security	NN	O
firms	NNS	O
.	.	O
Once	RB	O
macros	NNS	O
were	VBD	O
enabled	VBN	O
on	IN	O
the	DT	O
target	NN	O
system	NN	O
,	,	O
the	DT	O
malicious	JJ	O
macros	NNS	O
created	VBD	O
two	CD	O
named	VBN	O
scheduled	VBN	O
tasks	NNS	O
as	IN	O
persistence	NN	O
mechanisms	NNS	O
for	IN	O
two	CD	O
backdoors	NNS	TOOL
on	IN	O
the	DT	O
infected	JJ	O
system	NN	O
.	.	O
The	DT	O
