The	DT	O
Gaza	NNP	ACTOR
cybergang	NN	ACTOR
is	VBZ	O
an	DT	O
Arabic	NNP	O
-	:	O
language	NN	O
,	,	O
politically	RB	O
-	:	O
motivated	VBD	O
cybercriminal	JJ	O
group	NN	O
,	,	O
operating	VBG	O
since	IN	O
2012	CD	O
and	CC	O
actively	RB	O
targeting	VBG	O
the	DT	O
MENA	NNP	O
(	(	O
Middle	NNP	O
East	NNP	O
North	NNP	O
Africa	NNP	O
)	)	O
region	NN	O
.	.	O
The	DT	O
Gaza	NNP	ACTOR
cybergang	NN	ACTOR
's	POS	O
attacks	NNS	O
have	VBP	O
never	RB	O
slowed	VBN	O
down	RB	O
and	CC	O
its	PRP$	O
typical	JJ	O
targets	NNS	O
include	VBP	O
government	NN	O
entities	NNS	O
/	NNP	O
embassies	NNS	O
,	,	O
oil	NN	INDUSTRY
and	CC	INDUSTRY
gas	NN	INDUSTRY
,	,	O
media	NNS	O
/	NNP	O
press	NN	O
,	,	O
activists	NNS	INDUSTRY
,	,	O
politicians	NNS	INDUSTRY
,	,	O
and	CC	O
diplomats	NNS	INDUSTRY
.	.	O
One	CD	O
of	IN	O
the	DT	O
interesting	JJ	O
new	JJ	O
facts	NNS	O
,	,	O
uncovered	VBN	O
in	IN	O
mid-2017	NN	O
,	,	O
is	VBZ	O
its	PRP$	O
discovery	NN	O
inside	IN	O
an	DT	O
oil	NN	INDUSTRY
and	CC	INDUSTRY
gas	NN	INDUSTRY
organization	NN	O
in	IN	O
the	DT	O
MENA	NNP	LOCATION
region	NN	LOCATION
,	,	O
infiltrating	VBG	EFFECT
systems	NNS	EFFECT
and	CC	O
pilfering	VBG	EFFECT
data	NNS	EFFECT
,	,	O
apparently	RB	O
for	IN	O
more	JJR	O
than	IN	O
a	DT	O
year	NN	O
.	.	O
Previously	RB	O
,	,	O
Gaza	NNP	ACTOR
cybergang	NN	ACTOR
attacks	NNS	O
were	VBD	O
surprisingly	RB	O
successful	JJ	O
in	IN	O
using	VBG	O
simple	JJ	O
and	CC	O
common	JJ	O
tools	NNS	O
to	TO	O
achieve	VB	O
their	PRP$	O
goals	NNS	O
.	.	O
They	PRP	O
relied	VBD	O
on	IN	O
a	DT	O
variety	NN	O
of	IN	O
Remote	NNP	O
Access	NNP	O
Trojans	NNP	O
(	(	O
RATs	NNP	O
)	)	O
to	TO	O
perform	VB	O
their	PRP$	O
activities	NNS	O
,	,	O
including	VBG	O
Downeks	NNP	MALWARE
,	,	O
Qasar	NNP	MALWARE
,	,	O
Cobaltstrike	NNP	MALWARE
...	:	O
As	RB	O
recently	RB	O
as	IN	O
June	NNP	O
2017	CD	O
,	,	O
however	RB	O
,	,	O
the	DT	O
attackers	NNS	O
started	VBD	O
using	VBG	O
the	DT	O
CVE	NNP	O
2017	CD	O
-	:	O
0199	CD	O
vulnerability	NN	O
which	WDT	O
enables	VBZ	O
direct	JJ	TECHNIQUE
code	NN	TECHNIQUE
execution	NN	TECHNIQUE
from	IN	O
a	DT	O
Microsoft	NNP	APP
office	NN	APP
document	NN	O
on	IN	O
non	JJ	O
-	:	O
patched	JJ	O
victim	NN	O
systems	NNS	O
(	(	O
Cobaltstrike	NNP	MALWARE
payload	NN	O
in	IN	O
this	DT	O
case	NN	O
)	)	O
.	.	O
Another	DT	O
finding	NN	O
is	VBZ	O
a	DT	O
possible	JJ	O
Android	NNP	TOOL
Trojan	NNP	TOOL
that	IN	O
the	DT	O
attackers	NNS	O
positioned	VBD	O
on	IN	O
one	CD	O
of	IN	O
their	PRP$	O
command	NN	O
servers	NNS	O
in	IN	O
April	NNP	O
2017	CD	O
.	.	O
In	IN	O
most	JJS	O
cases	NNS	O
,	,	O
malware	NN	O
is	VBZ	O
sent	VBN	O
by	IN	O
email	NN	O
as	IN	O
a	DT	O
compressed	JJ	O
