Kaspersky	NNP	O
Lab	NNP	O
has	VBZ	O
been	VBN	O
tracking	VBG	O
a	DT	O
series	NN	O
of	IN	O
attacks	NNS	O
utilizing	VBG	O
unknown	JJ	O
malware	NN	O
since	IN	O
early	JJ	O
2017	CD	O
.	.	O
The	DT	O
attacks	NNS	O
appear	VBP	O
to	TO	O
be	VB	O
geopolitically	RB	O
motivated	VBN	O
and	CC	O
target	VB	O
high	JJ	INDUSTRY
profile	NN	INDUSTRY
organizations	NNS	INDUSTRY
.	.	O
The	DT	O
objective	NN	O
of	IN	O
the	DT	O
attacks	NNS	O
is	VBZ	O
clearly	RB	O
espionage	JJ	EFFECT
-	:	O
they	PRP	O
involve	VBP	O
gaining	VBG	O
access	NN	O
to	TO	O
top	VB	O
legislative	JJ	INDUSTRY
,	,	O
executive	NN	INDUSTRY
and	CC	O
judicial	JJ	INDUSTRY
bodies	NNS	INDUSTRY
around	IN	O
the	DT	O
world	NN	O
.	.	O
The	DT	O
attackers	NNS	O
have	VBP	O
targeted	VBN	O
a	DT	O
large	JJ	O
number	NN	O
of	IN	O
organizations	NNS	O
globally	RB	O
since	IN	O
early	JJ	O
2017	CD	O
,	,	O
with	IN	O
the	DT	O
main	JJ	O
focus	NN	O
on	IN	O
the	DT	O
Middle	NNP	LOCATION
East	NNP	LOCATION
and	CC	LOCATION
North	NNP	LOCATION
Africa	NNP	LOCATION
(	(	O
MENA	NNP	LOCATION
)	)	O
,	,	O
especially	RB	O
Palestine	NNP	LOCATION
.	.	O
High	JJ	O
-	:	O
profile	NN	O
organizations	NNS	O
have	VBP	O
also	RB	O
been	VBN	O
targeted	VBN	O
in	IN	O
other	JJ	O
regions	NNS	O
.	.	O
The	DT	O
number	NN	O
of	IN	O
attacks	NNS	O
has	VBZ	O
decreased	VBN	O
since	IN	O
the	DT	O
beginning	NN	O
of	IN	O
2018	CD	O
.	.	O
The	DT	O
attacks	NNS	O
were	VBD	O
initially	RB	O
discovered	VBN	O
while	IN	O
investigating	VBG	O
a	DT	O
phishing	VBG	TECHNIQUE
attack	NN	TECHNIQUE
that	WDT	O
targeted	VBD	O
political	JJ	INDUSTRY
figures	NNS	INDUSTRY
in	IN	O
the	DT	O
MENA	NNP	LOCATION
region	NN	O
.	.	O
At	IN	O
first	JJ	O
the	DT	O
attacks	NNS	O
looked	VBD	O
to	TO	O
be	VB	O
the	DT	O
work	NN	O
of	IN	O
the	DT	O
low	JJ	O
-	:	O
sophistication	NN	O
Gaza	NNP	ACTOR
Cybergang	NNP	ACTOR
(	(	O
decoys	JJ	O
,	,	O
file	JJ	O
names	NNS	O
)	)	O
,	,	O
but	CC	O
further	JJ	O
analysis	NN	O
painted	VBD	O
a	DT	O
very	RB	O
different	JJ	O
picture	NN	O
.	.	O
Targets	NNS	O
include	VBP	O
high	JJ	O
-	:	O
profile	NN	O
entities	NNS	O
such	JJ	O
as	IN	O
parliaments	NNS	INDUSTRY
,	,	O
senates	NNS	INDUSTRY
,	,	O
top	JJ	INDUSTRY
state	NN	INDUSTRY
offices	NNS	INDUSTRY
and	CC	O
officials	NNS	O
,	,	O
political	JJ	INDUSTRY
science	NN	INDUSTRY
scholars	NNS	INDUSTRY
,	,	O
military	JJ	INDUSTRY
and	CC	O
intelligence	NN	INDUSTRY
agencies	NNS	INDUSTRY
,	,	O
