Unit	NN	O
42	CD	O
has	VBZ	O
discovered	VBN	O
a	DT	O
persistent	JJ	O
attack	NN	O
campaign	NN	O
operating	VBG	O
primarily	RB	O
in	IN	O
the	DT	O
Middle	NNP	LOCATION
East	NNP	LOCATION
dating	VBG	O
back	RB	O
to	TO	O
at	IN	O
least	JJS	O
mid-2016	JJ	O
which	WDT	O
we	PRP	O
have	VBP	O
named	VBN	O
Magic	NNP	O
Hound	NNP	O
.	.	O
This	DT	O
appears	VBZ	O
to	TO	O
be	VB	O
an	DT	O
attack	NN	O
campaign	NN	O
focused	VBD	O
on	IN	O
espionage	NN	EFFECT
.	.	O
Based	VBN	O
upon	IN	O
our	PRP$	O
visibility	NN	O
it	PRP	O
has	VBZ	O
primarily	RB	O
targeted	VBN	O
organizations	NNS	O
in	IN	O
the	DT	O
energy	NN	INDUSTRY
,	,	O
government	NN	INDUSTRY
,	,	O
and	CC	O
technology	NN	INDUSTRY
sectors	NNS	INDUSTRY
that	WDT	O
are	VBP	O
either	DT	O
based	VBN	O
or	CC	O
have	VBP	O
business	NN	O
interests	NNS	O
in	IN	O
Saudi	NNP	LOCATION
Arabia	NNP	LOCATION
.	.	O
The	DT	O
adversaries	NNS	O
appear	VBP	O
to	TO	O
have	VB	O
evolved	VBN	O
their	PRP$	O
tactics	NNS	O
and	CC	O
techniques	NNS	O
throughout	IN	O
the	DT	O
tracked	JJ	O
time	NN	O
-	:	O
period	NN	O
,	,	O
iterating	VBG	O
through	IN	O
a	DT	O
diverse	JJ	O
toolset	NN	O
across	IN	O
different	JJ	O
waves	NNS	O
of	IN	O
attacks	NNS	O
.	.	O
Link	NNP	O
analysis	NN	O
of	IN	O
infrastructure	NN	O
and	CC	O
tools	NNS	O
also	RB	O
revealed	VBD	O
a	DT	O
potential	JJ	O
relationship	NN	O
between	IN	O
Magic	NNP	O
Hound	NNP	O
and	CC	O
the	DT	O
adversary	JJ	O
group	NN	O
called	VBD	O
"	NNP	O
Rocket	NNP	ACTOR
Kitten	NNP	ACTOR
"	NNP	O
(	(	O
AKA	NNP	O
Operation	NNP	ACTOR
Saffron	NNP	ACTOR
Rose	NNP	ACTOR
,	,	O
Ajax	NNP	ACTOR
Security	NNP	ACTOR
Team	NNP	ACTOR
,	,	O
Operation	NNP	O
Woolen	NNP	O
-	:	O
Goldfish	NN	O
)	)	O
as	RB	O
well	RB	O
as	IN	O
an	DT	O
older	JJR	O
attack	NN	O
campaign	NN	O
called	VBN	O
Newscasters	NNP	O
.	.	O
Artifacts	NNS	O
of	IN	O
this	DT	O
campaign	NN	O
was	VBD	O
also	RB	O
recently	RB	O
published	VBN	O
by	IN	O
Secureworks	NNP	O
CTU	NNP	O
.	.	O
We	PRP	O
were	VBD	O
able	JJ	O
to	TO	O
collect	VB	O
over	IN	O
fifty	JJ	O
samples	NNS	O
of	IN	O
the	DT	O
tools	NNS	O
used	VBN	O
by	IN	O
the	DT	O
Magic	NNP	O
Hound	NNP	O
campaign	NN	O
using	VBG	O
the	DT	O
AutoFocus	NNP	O
threat	NN	O
intelligence	NN	O
tool	NN	O
.	.	O
The	DT	O
earliest	JJS	O
malware	NN	O
sample	NN	O
we	PRP	O
were	VBD	O
able	JJ	O
to	TO	O
collect	VB	O
had	VBD	O
a	DT	O
compile	NN	O
timestamp	NN	O
in	IN	O
May	NNP	O
2016	CD	O
.	.	O
The	DT	O
samples	NNS	O
themselves	PRP	O
ranged	VBD	O
from	IN	O
IRC	NNP	TOOL
bots	NNS	TOOL
,	,	O
an	DT	O
open	JJ	O
source	NN	O
Python	NNP	O
remote	VBZ	TOOL
access	NN	TOOL
tool	NN	TOOL
,	,	O
malicious	JJ	TOOL
macros	NNS	TOOL
,	,	O
and	CC	O
others	NNS	O
.	.	O
It	PRP	O
is	VBZ	O
believed	VBN	O
the	DT	O
use	NN	O
of	IN	O
specific	JJ	O
tools	NNS	O
may	MD	O
have	VB	O
coincided	VBN	O
with	IN	O
specific	JJ	O
