Operation	NNP	O
Blockbuster	NNP	O
began	VBD	O
in	IN	O
December	NNP	O
2014	CD	O
,	,	O
independent	JJ	O
of	IN	O
any	DT	O
investigation	NN	O
conducted	VBN	O
by	IN	O
law	NN	O
enforcement	NN	O
or	CC	O
Sony	NNP	O
,	,	O
with	IN	O
the	DT	O
intent	NN	O
to	TO	O
not	RB	O
only	RB	O
identify	VB	O
and	CC	O
impact	VB	O
the	DT	O
malicious	JJ	O
tools	NNS	O
and	CC	O
infrastructure	NN	O
used	VBN	O
by	IN	O
the	DT	O
Lazarus	NNP	ACTOR
Group	NNP	ACTOR
,	,	O
but	CC	O
also	RB	O
to	TO	O
clarify	VB	O
details	NNS	O
surrounding	VBG	O
the	DT	O
November	NNP	O
2014	CD	O
Sony	NNP	INDUSTRY
Pictures	NNPS	INDUSTRY
Entertainment	NNP	INDUSTRY
attack	NN	O
,	,	O
which	WDT	O
was	VBD	O
the	DT	O
subject	NN	O
of	IN	O
widespread	JJ	O
confusion	NN	O
.	.	O
By	IN	O
investigating	VBG	O
the	DT	O
malware	NN	O
linked	VBN	O
to	TO	O
this	DT	O
attack	NN	O
,	,	O
we	PRP	O
have	VBP	O
determined	VBN	O
that	IN	O
the	DT	O
Lazarus	NNP	ACTOR
Group	NNP	ACTOR
has	VBZ	O
operated	VBN	O
largely	RB	O
unfettered	JJ	O
for	IN	O
nearly	RB	O
a	DT	O
decade	NN	O
,	,	O
conducting	VBG	O
cyber	JJ	EFFECT
espionage	NN	EFFECT
,	,	O
denial	NN	EFFECT
of	IN	EFFECT
service	NN	EFFECT
attacks	NNS	O
,	,	O
data	NNS	EFFECT
theft	NN	EFFECT
,	,	O
and	CC	O
destructive	JJ	O
attacks	NNS	O
.	.	O
On	IN	O
December	NNP	O
14	CD	O
,	,	O
2014	CD	O
,	,	O
US	NNP	O
-	:	O
CERT	NNP	O
released	VBD	O
an	DT	O
alert	NN	O
entitled	VBD	O
"	RB	O
Targeted	VBN	O
Destructive	NNP	O
Malware	NNP	O
.	.	O
"	NN	O
The	DT	O
alert	NN	O
described	VBD	O
a	DT	O
set	NN	O
of	IN	O
malware	NN	O
families	NNS	O
used	VBN	O
by	IN	O
undefined	JJ	O
attackers	NNS	O
to	TO	O
compromise	VB	O
large	JJ	O
network	NN	O
infrastructures	NNS	O
and	CC	O
deploy	VB	O
hard	JJ	TOOL
drive	NN	TOOL
wiping	VBG	TOOL
malware	NN	TOOL
,	,	O
RATs	NNP	TOOL
,	,	O
and	CC	O
proxy	JJ	TOOL
Trojans	NNPS	TOOL
.	.	O
While	IN	O
the	DT	O
document	NN	O
did	VBD	O
not	RB	O
specifically	RB	O
call	VB	O
out	RP	O
the	DT	O
Guardians	NNPS	ACTOR
of	IN	ACTOR
Peace	NNP	ACTOR
(	(	O
GOP	NNP	O
)	)	O
's	POS	O
attack	NN	O
against	IN	O
SPE	NNP	INDUSTRY
from	IN	O
the	DT	O
previous	JJ	O
month	NN	O
,	,	O
and	CC	O
only	RB	O
provided	VBD	O
some	DT	O
basic	JJ	O
YARA	NNP	O
signatures	NNS	O
and	CC	O
import	NN	O
hashes	NNS	O
,	,	O
members	NNS	O
of	IN	O
the	DT	O
security	NN	O
community	NN	O
released	VBN	O
specific	JJ	O
hashes	NNS	O
for	IN	O
the	DT	O
malware	NN	O
used	VBN	O
within	IN	O
the	DT	O
SPE	NNP	INDUSTRY
attack	NN	O
.	.	O
From	IN	O
these	DT	O
hashes	NNS	O
(	(	O
MD5s	NNP	O
listed	VBN	O
below	IN	O
)	)	O
,	,	O
a	DT	O
baseline	NN	O
of	IN	O
the	DT	O
Lazarus	NNP	ACTOR
Group	NNP	ACTOR
's	POS	O
malware	NN	O
capabilities	NNS	O
was	VBD	O
established	VBN	O
.	.	O
From	IN	O
these	DT	O
common	JJ	O
snippets	NNS	O
of	IN	O
code	NN	O
and	CC	O
use	NN	O
of	IN	O
library	JJ	O
functions	NNS	O
,	,	O
signatures	NNS	O
were	VBD	O
generated	VBN	O
to	TO	O
detect	VB	O
additional	JJ	O
malware	NN	O
samples	NNS	O
using	VBG	O
both	DT	O
open	JJ	O
-	:	O
source	NN	O
tools	NNS	O
and	CC	O
Totem	NNP	TOOL
,	,	O
an	DT	O
open	JJ	O
-	:	O
source	NN	O
,	,	O
Novetta	NNP	O
-	:	O
developed	VBD	O
framework	NN	O
for	IN	O
large	JJ	O
-	:	O
scale	NN	O
file	NN	O
analysis	NN	O
and	CC	O
triage	NN	O
.	.	O
While	IN	O
attempting	VBG	O
to	TO	O
acquire	VB	O
all	DT	O
malware	NN	O
associated	VBN	O
with	IN	O
a	DT	O
particular	JJ	O
threat	NN	O
group	NN	O
is	VBZ	O
a	DT	O
Sisyphean	JJ	O
task	NN	O
,	,	O
given	VBN	O
the	DT	O
active	JJ	O
development	NN	O
of	IN	O
multiple	JJ	O
various	JJ	O
toolsets	NNS	O
,	,	O
Novetta	NNP	O
was	VBD	O
able	JJ	O
to	TO	O
detect	VB	O
and	CC	O
analyze	VB	O
more	JJR	O
than	IN	O
45	CD	O
distinct	JJ	O
malware	NN	O
families	NNS	O
that	IN	O
fall	NN	O
under	IN	O
the	DT	O
Lazarus	NNP	ACTOR
Group	NNP	ACTOR
's	POS	O
toolset	NN	O
.	.	O
A	DT	O
thorough	JJ	O
discussion	NN	O
on	IN	O
these	DT	O
families	NNS	O
,	,	O
organized	VBN	O
by	IN	O
usage	NN	O
and	CC	O
intention	NN	O
,	,	O
can	MD	O
be	VB	O
found	VBN	O
in	IN	O
Novetta	NNP	O
's	POS	O
supplemental	JJ	O
reports	NNS	O
.	.	O
In	IN	O
November	NNP	O
2014	CD	O
,	,	O
Sony	NNP	INDUSTRY
Pictures	NNP	INDUSTRY
Entertainment	NNP	INDUSTRY
(	(	O
SPE	NNP	INDUSTRY
)	)	O
was	VBD	O
attacked	VBN	O
with	IN	O
destructive	JJ	O
malware	NN	O
whose	WP$	O
various	JJ	O
components	NNS	O
were	VBD	O
publicly	RB	O
reported	VBN	O
as	IN	O
Destover	NNP	MALWARE
or	CC	O
Wiper	NNP	MALWARE
and	CC	O
which	WDT	O
Novetta	NNP	O
identified	VBD	O
in	IN	O
this	DT	O
Operation	NNP	O
as	IN	O
WhiskeyAlfa	NNP	MALWARE
,	,	O
malware	NN	O
associated	VBN	O
with	IN	O
the	DT	O
Lazarus	NNP	ACTOR
Group	NNP	ACTOR
threat	NN	O
actors	NNS	O
(	(	O
see	VB	O
Section	NNP	O
4.1	CD	O
for	IN	O
details	NNS	O
about	IN	O
the	DT	O
naming	JJ	O
scheme	NN	O
used	VBN	O
for	IN	O
malware	NN	O
attributed	VBN	O
to	TO	O
the	DT	O
Lazarus	NNP	ACTOR
Group	NNP	ACTOR
)	)	O
.	.	O
Publicly	NNP	O
,	,	O
a	DT	O
previously	RB	O
unknown	JJ	O
hacker	NN	O
group	NN	O
named	VBD	O
Guardians	NNP	ACTOR
of	IN	ACTOR
Peace	NNP	ACTOR
(	(	O
GOP	NNP	O
)	)	O
took	VBD	O
credit	NN	O
for	IN	O
the	DT	O
wiper	JJ	O
attack	NN	O
and	CC	O
stolen	VBN	EFFECT
data	NNS	EFFECT
.	.	O
The	DT	O
group	NN	O
eventually	RB	O
publicized	VBD	O
the	DT	O
files	NNS	O
stolen	VBN	O
from	IN	O
SPE	NNP	INDUSTRY
networks	NNS	O
,	,	O
including	VBG	O
unreleased	JJ	O
movies	NNS	O
,	,	O
usernames	NNS	O
,	,	O
passwords	NNS	O
,	,	O
and	CC	O
other	JJ	O
IT	NNP	O
details	NNS	O
for	IN	O
internal	JJ	O
SPE	NNP	INDUSTRY
networks	NNS	O
,	,	O
employees	NNS	O
'	POS	O
personal	JJ	O
information	NN	O
,	,	O
payroll	NN	O
information	NN	O
,	,	O
employee	NN	O
termination	NN	O
details	NNS	O
,	,	O
TV	NN	O
scripts	NNS	O
,	,	O
and	CC	O
company	NN	O
emails	NNS	O
.	.	O
The	DT	O
Lazarus	NNP	ACTOR
Group	NNP	ACTOR
has	VBZ	O
developed	VBN	O
an	DT	O
extensive	JJ	O
and	CC	O
varied	JJ	O
toolset	NN	O
which	WDT	O
effectively	RB	O
combines	VBZ	O
a	DT	O
number	NN	O
of	IN	O
methods	NNS	O
for	IN	O
delivering	VBG	O
additional	JJ	O
malicious	JJ	O
tools	NNS	O
,	,	O
exfiltrating	VBG	EFFECT
data	NNS	EFFECT
,	,	O
and	CC	O
launching	VBG	EFFECT
destructive	JJ	EFFECT
attacks	NNS	EFFECT
.	.	O
While	IN	O
the	DT	O
group	NN	O
's	POS	O
combined	VBN	O
capabilities	NNS	O
are	VBP	O
not	RB	O
necessarily	RB	O
as	IN	O
polished	VBN	O
or	CC	O
advanced	VBN	O
as	IN	O
other	JJ	O
publicly	RB	O
reported	VBN	O
APT	NNP	O
groups	NNS	O
,	,	O
the	DT	O
TTPs	NNP	O
and	CC	O
malware	NN	O
connected	VBN	O
to	TO	O
the	DT	O
Lazarus	NNP	ACTOR
Group	NNP	ACTOR
demonstrate	VBP	O
that	IN	O
it	PRP	O
is	VBZ	O
a	DT	O
capable	JJ	O
and	CC	O
determined	VBD	O
adversary	NN	O
.	.	O
Particularly	RB	O
when	WRB	O
considering	VBG	O
the	DT	O
state	NN	O
of	IN	O
most	JJS	O
,	,	O
if	IN	O
not	RB	O
all	DT	O
,	,	O
organizations	NNS	O
who	WP	O
struggle	VBP	O
with	IN	O
the	DT	O
complexity	NN	O
of	IN	O
computer	NN	O
network	NN	O
defense	NN	O
,	,	O
it	PRP	O
is	VBZ	O
clear	JJ	O
that	IN	O
the	DT	O
