FireEye	NNP	O
has	VBZ	O
moderate	JJ	O
confidence	NN	O
that	IN	O
a	DT	O
campaign	NN	O
targeting	VBG	O
the	DT	O
hospitality	NN	O
sector	NN	O
is	VBZ	O
attributed	VBN	O
to	TO	O
Russian	NNP	O
actor	NN	O
APT28	NNP	ACTOR
.	.	O
We	PRP	O
believe	VBP	O
this	DT	O
activity	NN	O
,	,	O
which	WDT	O
dates	VBZ	O
back	RB	O
to	TO	O
at	IN	O
least	JJS	O
July	NNP	O
2017	CD	O
,	,	O
was	VBD	O
intended	VBN	O
to	TO	O
target	VB	O
travelers	NNS	O
to	TO	O
hotels	NNS	INDUSTRY
throughout	IN	O
Europe	NNP	LOCATION
and	CC	O
the	DT	O
Middle	NNP	LOCATION
East	NNP	LOCATION
.	.	O
The	DT	O
actor	NN	O
has	VBZ	O
used	VBN	O
several	JJ	O
notable	JJ	O
techniques	NNS	O
in	IN	O
these	DT	O
incidents	NNS	O
such	JJ	O
as	IN	O
sniffing	VBG	TECHNIQUE
passwords	NNS	TECHNIQUE
from	IN	O
Wi	NNP	O
-	:	O
Fi	NNP	O
traffic	NN	O
,	,	O
poisoning	VBG	TECHNIQUE
the	DT	TECHNIQUE
NetBIOS	NNP	TECHNIQUE
Name	NNP	O
Service	NNP	O
,	,	O
and	CC	O
spreading	VBG	TECHNIQUE
laterally	RB	TECHNIQUE
via	IN	O
the	DT	O
EternalBlue	NNP	MALWARE
exploit	NN	O
.	.	O
FireEye	NNP	O
has	VBZ	O
uncovered	VBN	O
a	DT	O
malicious	JJ	O
document	NN	O
sent	VBN	O
in	IN	O
spear	JJ	TECHNIQUE
phishing	NN	TECHNIQUE
emails	NNS	TECHNIQUE
to	TO	O
multiple	VB	O
companies	NNS	O
in	IN	O
the	DT	O
hospitality	NN	O
industry	NN	O
,	,	O
including	VBG	O
hotels	NNS	INDUSTRY
in	IN	O
at	IN	O
least	JJS	O
seven	CD	O
European	JJ	LOCATION
countries	NNS	O
and	CC	O
one	CD	O
Middle	NNP	LOCATION
Eastern	NNP	LOCATION
country	NN	O
in	IN	O
early	JJ	O
July	NNP	O
.	.	O
Successful	JJ	O
execution	NN	O
of	IN	O
the	DT	O
macro	NN	O
within	IN	O
the	DT	O
malicious	JJ	O
document	NN	O
results	NNS	O
in	IN	O
the	DT	O
installation	NN	O
of	IN	O
APT28	NNP	ACTOR
's	POS	O
signature	NN	O
GAMEFISH	NNP	MALWARE
malware	NN	O
.	.	O
The	DT	O
malicious	JJ	O
document	NN	O
-	:	O
Hotel_Reservation_Form.doc	NNP	O
(	(	O
MD5	NNP	O
:	:	O
9b10685b774a783eabfecdb6119a8aa3	CD	O
)	)	O
,	,	O
as	IN	O
seen	VBN	O
in	IN	O
Figure	NNP	O
1	CD	O
-	:	O
contains	VBZ	O
a	DT	O
macro	NN	O
that	WDT	O
base64	VBZ	O
decodes	VBZ	O
a	DT	O
dropper	NN	O
that	WDT	O
then	RB	O
deploys	VBZ	O
APT28	NNP	ACTOR
's	POS	O
signature	NN	O
GAMEFISH	NNP	MALWARE
malware	NN	O
(	(	O
MD5	NNP	O
:	:	O
1421419d1be31f1f9ea60e8ed87277db	CD	O
)	)	O
,	,	O
which	WDT	O
uses	VBZ	O
