The	DT	O
investigation	NN	O
of	IN	O
a	DT	O
massive	JJ	O
cyber	NN	EFFECT
espionage	NN	EFFECT
APT	NNP	O
(	(	O
Advanced	NNP	O
Persistent	NNP	O
Threat	NNP	O
)	)	O
became	VBD	O
a	DT	O
game	NN	O
of	IN	O
one	CD	O
-	:	O
upmanship	NN	O
between	IN	O
attackers	NNS	O
and	CC	O
defenders	NNS	O
.	.	O
Dubbed	NNP	O
Operation	NNP	ACTOR
Cobalt	NNP	ACTOR
Kitty	NNP	ACTOR
,	,	O
the	DT	O
APT	NNP	O
targeted	VBD	O
a	DT	O
global	JJ	O
corporation	NN	O
based	VBN	O
in	IN	O
Asia	NNP	LOCATION
with	IN	O
the	DT	O
goal	NN	O
of	IN	O
stealing	VBG	EFFECT
proprietary	JJ	EFFECT
business	NN	EFFECT
information	NN	EFFECT
.	.	O
The	DT	O
threat	NN	O
actor	NN	O
targeted	VBD	O
the	DT	O
company	NN	O
's	POS	O
top	JJ	O
-	:	O
level	NN	O
management	NN	O
by	IN	O
using	VBG	O
sophisticated	JJ	O
spear	JJ	O
-	:	O
phishing	VBG	O
attacks	NNS	O
as	IN	O
the	DT	O
initial	JJ	O
penetration	NN	O
vector	NN	O
,	,	O
ultimately	RB	O
compromising	VBG	O
the	DT	O
computers	NNS	O
of	IN	O
vice	NN	O
presidents	NNS	O
,	,	O
senior	JJ	O
directors	NNS	O
and	CC	O
other	JJ	O
key	JJ	O
personnel	NNS	O
in	IN	O
the	DT	O
operational	JJ	O
departments	NNS	O
.	.	O
During	IN	O
Operation	NNP	ACTOR
Cobalt	NNP	ACTOR
Kitty	NNP	ACTOR
,	,	O
the	DT	O
attackers	NNS	O
compromised	VBD	O
more	JJR	O
than	IN	O
40	CD	O
PCs	NNS	O
and	CC	O
servers	NNS	O
,	,	O
including	VBG	O
the	DT	O
domain	NN	O
controller	NN	O
,	,	O
file	NN	O
servers	NNS	O
,	,	O
Web	NNP	O
application	NN	O
server	NN	O
and	CC	O
database	NN	O
server	NN	O
.	.	O
Forensic	JJ	O
artifacts	NNS	O
revealed	VBD	O
that	IN	O
the	DT	O
attackers	NNS	O
persisted	VBD	O
on	IN	O
the	DT	O
network	NN	O
for	IN	O
at	IN	O
least	JJS	O
a	DT	O
year	NN	O
before	IN	O
Cybereason	NNP	O
was	VBD	O
deployed	VBN	O
.	.	O
The	DT	O
adversary	JJ	O
proved	VBD	O
very	RB	O
adaptive	JJ	O
and	CC	O
responded	VBD	O
to	TO	O
company	NN	O
's	POS	O
security	NN	O
measures	NNS	O
by	IN	O
periodically	RB	O
changing	VBG	O
tools	NNS	O
,	,	O
techniques	NNS	O
and	CC	O
procedures	NNS	O
(	(	O
TTPs	NNP	O
)	)	O
,	,	O
allowing	VBG	O
them	PRP	O
to	TO	O
persist	VB	O
on	IN	O
the	DT	O
network	NN	O
for	IN	O
such	PDT	O
an	DT	O
extensive	JJ	O
period	NN	O
of	IN	O
time	NN	O
.	.	O
Over	IN	O
80	CD	O
payloads	NNS	O
and	CC	O
numerous	JJ	O
domains	NNS	O
were	VBD	O
observed	VBN	O
in	IN	O
this	DT	O
operation	NN	O
-	:	O
all	DT	O
of	IN	O
which	WDT	O
were	VBD	O
undetected	VBN	O
by	IN	O
traditional	JJ	O
security	NN	O
products	NNS	O
deployed	VBN	O
in	IN	O
the	DT	O
company	NN	O
's	POS	O
environment	NN	O
at	IN	O
the	DT	O
time	NN	O
of	IN	O
the	DT	O
attack	NN	O
.	.	O
The	DT	O
attackers	NNS	O
arsenal	JJ	O
consisted	VBN	O
of	IN	O
modified	JJ	O
publicly	RB	O
-	:	O
available	JJ	O
tools	NNS	O
as	RB	O
well	RB	O
as	IN	O
six	CD	O
undocumented	JJ	O
custom	NN	O
-	:	O
built	NN	O
tools	NNS	O
,	,	O
which	WDT	O
Cybereason	NNP	O
considers	VBZ	O
the	DT	O
threat	NN	O
actor	NN	O
's	POS	O
signature	NN	O
tools	NNS	O
.	.	O
Among	IN	O
these	DT	O
tools	NNS	O
are	VBP	O
two	CD	O
backdoors	NNS	TOOL
that	WDT	O
exploited	VBD	O
DLL	NNP	TECHNIQUE
side	NN	TECHNIQUE
loading	VBG	TECHNIQUE
attack	NN	TECHNIQUE
in	IN	O
Microsoft	NNP	APP
,	,	O
Google	NNP	APP
and	CC	O
Kaspersky	NNP	APP
applications	NNS	APP
.	.	O
In	IN	O
addition	NN	O
,	,	O
they	PRP	O
developed	VBD	O
a	DT	O
novel	NN	O
and	CC	O
stealthy	JJ	O
backdoor	NN	TOOL
that	WDT	O
targets	VBZ	O
Microsoft	NNP	APP
Outlook	NNP	O
for	IN	O
command	NN	O
-	:	O
and	CC	O
-	:	O
control	NN	O
channel	NN	O
and	CC	O
data	NNS	TECHNIQUE
exfiltration	NN	TECHNIQUE
.	.	O
Based	VBN	O
on	IN	O
the	DT	O
tools	NNS	O
,	,	O
modus	NN	O
operandi	NN	O
and	CC	O
IOCs	NNP	O
(	(	O
indicators	NNS	O
of	IN	O
compromise	NN	O
)	)	O
observed	VBD	O
in	IN	O
Operation	NNP	ACTOR
Cobalt	NNP	ACTOR
Kitty	NNP	ACTOR
,	,	O
Cybereason	NNP	O
attributes	VBZ	O
this	DT	O
large	JJ	O
-	:	O
scale	NN	O
cyber	NN	EFFECT
espionage	NN	EFFECT
APT	NNP	O
to	TO	O
the	DT	O
"	NNP	O
OceanLotus	NNP	ACTOR
Group	NNP	ACTOR
"	NNP	O
(	(	O
which	WDT	O
is	VBZ	O
also	RB	O
known	VBN	O
as	IN	O
,	,	O
APT	NNP	O
-	:	O
C-00	NN	O
,	,	O
