Active	JJ	O
since	IN	O
at	IN	O
least	JJS	O
2013	CD	O
,	,	O
TEMP.Periscope	NNP	ACTOR
has	VBZ	O
primarily	RB	O
focused	VBN	O
on	IN	O
maritime	NN	O
-	:	O
related	JJ	O
targets	NNS	O
across	IN	O
multiple	JJ	O
verticals	NNS	O
,	,	O
including	VBG	O
engineering	NN	INDUSTRY
firms	NNS	INDUSTRY
,	,	O
shipping	NN	INDUSTRY
and	CC	O
transportation	NN	INDUSTRY
,	,	O
manufacturing	NN	INDUSTRY
,	,	O
defense	NN	INDUSTRY
,	,	O
government	NN	INDUSTRY
offices	NNS	INDUSTRY
,	,	O
and	CC	O
research	NN	INDUSTRY
universities	NNS	INDUSTRY
.	.	O
However	RB	O
,	,	O
the	DT	O
group	NN	O
has	VBZ	O
also	RB	O
targeted	VBN	O
professional	JJ	O
/	NN	O
consulting	NN	O
services	NNS	O
,	,	O
high	JJ	O
-	:	O
tech	NN	O
industry	NN	O
,	,	O
healthcare	NN	INDUSTRY
,	,	O
and	CC	O
media	NNS	O
/	VBP	O
publishing	NN	O
.	.	O
Identified	VBN	O
victims	NNS	O
were	VBD	O
mostly	RB	O
found	VBN	O
in	IN	O
the	DT	O
United	NNP	LOCATION
States	NNPS	LOCATION
,	,	O
although	IN	O
organizations	NNS	O
in	IN	O
Europe	NNP	LOCATION
and	CC	O
at	IN	O
least	JJS	O
one	CD	O
in	IN	O
Hong	NNP	LOCATION
Kong	NNP	LOCATION
have	VBP	O
also	RB	O
been	VBN	O
affected	VBN	O
.	.	O
TEMP.Periscope	NN	ACTOR
overlaps	NNS	O
in	IN	O
targeting	VBG	O
,	,	O
as	RB	O
well	RB	O
as	IN	O
tactics	NNS	O
,	,	O
techniques	NNS	O
,	,	O
and	CC	O
procedures	NNS	O
(	(	O
TTPs	NNP	O
)	)	O
,	,	O
with	IN	O
TEMP.Jumper	NNP	ACTOR
,	,	O
a	DT	O
group	NN	O
that	WDT	O
also	RB	O
overlaps	VBZ	O
significantly	RB	O
with	IN	O
public	JJ	O
reporting	NN	O
on	IN	O
"	JJ	O
NanHaiShu	NNP	O
.	.	O
"	NN	O
TTPs	NNP	O
and	CC	O
Malware	NNP	O
Used	VBD	O
In	IN	O
their	PRP$	O
recent	JJ	O
spike	NN	O
in	IN	O
activity	NN	O
,	,	O
TEMP.Periscope	NNP	ACTOR
has	VBZ	O
leveraged	VBN	O
a	DT	O
relatively	RB	O
large	JJ	O
library	NN	O
of	IN	O
malware	NN	O
shared	VBN	O
with	IN	O
multiple	JJ	O
other	JJ	O
suspected	VBN	O
Chinese	JJ	O
groups	NNS	O
.	.	O
These	DT	O
tools	NNS	O
include	VBP	O
:	:	O
AIRBREAK	NN	MALWARE
:	:	O
a	DT	O
JavaScript	NNP	O
-	:	O
based	VBN	O
backdoor	NN	TOOL
also	RB	O
reported	VBD	O
as	IN	O
"	NNP	O
Orz	NNP	O
"	NNP	O
that	WDT	O
retrieves	VBZ	O
commands	NNS	O
from	IN	O
hidden	JJ	O
strings	NNS	O
in	IN	O
compromised	JJ	O
webpages	NNS	O
and	CC	O
actor	NN	O
controlled	VBD	O
profiles	NNS	O
on	IN	O
legitimate	JJ	O
services	NNS	O
.	.	O
BADFLICK	NN	MALWARE
:	:	O
a	DT	O
